id,species,taxonId,ensembl,entrez,name,fullname,synonym,signature,chromStart,chromEnd,chromStrand,chromName,band,goTerms,function,goFunctions,goLocalizations,cerebralLocalization,nrIntxsValidated,nrIntxsPredicted,transcripts,humanOrthologs,mouseOrthologs,bovineOrthologs,lastModified
12133,Homo sapiens,9606,ENSG00000167984,197358,NLRC3,"NLR family, CARD domain containing 3 ",,NLRC3|IDBG-12133|ENSG00000167984|197358,3539033,3577400,-1,16,p13.3,GO:0003674|molecular_function|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005524|ATP binding|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0007249|I-kappaB kinase/NF-kappaB signaling|biological_process#GO:0031396|regulation of protein ubiquitination|biological_process#GO:0032088|negative regulation of NF-kappaB transcription factor activity|biological_process#GO:0032496|response to lipopolysaccharide|biological_process#GO:0042110|T cell activation|biological_process#GO:0043124|negative regulation of I-kappaB kinase/NF-kappaB signaling|biological_process#GO:0045087|innate immune response|biological_process, ATP binding,GO:0003674: molecular_function#GO:0005515: protein binding#GO:0005524: ATP binding,"GO:0003674: molecular_function,GO:0005515: protein binding,GO:0005524: ATP binding",Cytoplasm,4,0,12137|12139|366766|807289|807292,,Nlrc3|IDBG-129350|ENSMUSG00000049871|268857,NLRC3|IDBG-635990|ENSBTAG00000004505|507786,2/20/17
12161,Homo sapiens,9606,ENSG00000188827,84464,SLX4,SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae) ,,SLX4|IDBG-12161|ENSG00000188827|84464,3581181,3611598,-1,16,p13.3,"GO:0000724|double-strand break repair via homologous recombination|biological_process#GO:0000737|DNA catabolic process, endonucleolytic|biological_process#GO:0000784|nuclear chromosome, telomeric region|cellular_component#GO:0000790|nuclear chromatin|cellular_component#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0006260|DNA replication|biological_process#GO:0006281|DNA repair|biological_process#GO:0006289|nucleotide-excision repair|biological_process#GO:0008047|enzyme activator activity|molecular_function#GO:0008821|crossover junction endodeoxyribonuclease activity|molecular_function#GO:0010792|DNA double-strand break processing involved in repair via single-strand annealing|biological_process#GO:0017108|5'-flap endonuclease activity|molecular_function#GO:0030054|cell junction|cellular_component#GO:0033557|Slx1-Slx4 complex|cellular_component#GO:0043085|positive regulation of catalytic activity|biological_process#GO:0045087|innate immune response|biological_process#GO:0048257|3'-flap endonuclease activity|molecular_function#GO:0048476|Holliday junction resolvase complex|cellular_component#GO:0070522|ERCC4-ERCC1 complex|cellular_component#GO:0072429|response to intra-S DNA damage checkpoint signaling|biological_process", 3'-flap endonuclease activity,GO:0005515: protein binding#GO:0008047: enzyme activator activity#GO:0008821: crossover junction endodeoxyribonuclease activity#GO:0017108: 5'-flap endonuclease activity#GO:0048257: 3'-flap endonuclease activity,"GO:0005515: protein binding,GO:0008047: enzyme activator activity,GO:0008821: crossover junction endodeoxyribonuclease activity,GO:0017108: 5'-flap endonuclease activity,GO:0048257: 3'-flap endonuclease activity",Nucleus,52,0,12163,,Slx4|IDBG-129386|ENSMUSG00000039738|52864,SLX4|IDBG-636021|ENSBTAG00000004509|512193,2/20/17
12340,Homo sapiens,9606,ENSG00000005339,1387,CREBBP,CREB binding protein ,CBP|KAT3A|RSTS,CREBBP|IDBG-12340|ENSG00000005339|1387,3725054,3880726,-1,16,p13.3,"GO:0000122|negative regulation of transcription from RNA polymerase II promoter|biological_process#GO:0000123|histone acetyltransferase complex|cellular_component#GO:0000790|nuclear chromatin|cellular_component#GO:0000940|condensed chromosome outer kinetochore|cellular_component#GO:0000987|core promoter proximal region sequence-specific DNA binding|molecular_function#GO:0001078|RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription|molecular_function#GO:0001085|RNA polymerase II transcription factor binding|molecular_function#GO:0001102|RNA polymerase II activating transcription factor binding|molecular_function#GO:0001105|RNA polymerase II transcription coactivator activity|molecular_function#GO:0001191|RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription|molecular_function#GO:0001666|response to hypoxia|biological_process#GO:0002039|p53 binding|molecular_function#GO:0003677|DNA binding|molecular_function#GO:0003682|chromatin binding|molecular_function#GO:0003700|sequence-specific DNA binding transcription factor activity|molecular_function#GO:0003712|transcription cofactor activity|molecular_function#GO:0003713|transcription coactivator activity|molecular_function#GO:0004402|histone acetyltransferase activity|molecular_function#GO:0004871|signal transducer activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005654|nucleoplasm|cellular_component#GO:0005667|transcription factor complex|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0006325|chromatin organization|biological_process#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006367|transcription initiation from RNA polymerase II promoter|biological_process#GO:0006461|protein complex assembly|biological_process#GO:0007165|signal transduction|biological_process#GO:0007219|Notch signaling pathway|biological_process#GO:0008134|transcription factor binding|molecular_function#GO:0008270|zinc ion binding|molecular_function#GO:0008589|regulation of smoothened signaling pathway|biological_process#GO:0010467|gene expression|biological_process#GO:0016032|viral process|biological_process#GO:0016407|acetyltransferase activity|molecular_function#GO:0016573|histone acetylation|biological_process#GO:0016604|nuclear body|cellular_component#GO:0018076|N-terminal peptidyl-lysine acetylation|biological_process#GO:0030718|germ-line stem cell maintenance|biological_process#GO:0032481|positive regulation of type I interferon production|biological_process#GO:0042592|homeostatic process|biological_process#GO:0042733|embryonic digit morphogenesis|biological_process#GO:0043426|MRF binding|molecular_function#GO:0044255|cellular lipid metabolic process|biological_process#GO:0044281|small molecule metabolic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0045893|positive regulation of transcription, DNA-templated|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0048511|rhythmic process|biological_process#GO:0061418|regulation of transcription from RNA polymerase II promoter in response to hypoxia|biological_process#GO:0071456|cellular response to hypoxia|biological_process", MRF binding,GO:0000987: core promoter proximal region sequence-specific DNA binding#GO:0001078: RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription#GO:0001085: RNA polymerase II transcription factor binding#GO:0001102: RNA polymerase II activating transcription factor binding#GO:0001105: RNA polymerase II transcription coactivator activity#GO:0001191: RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription#GO:0002039: p53 binding#GO:0003677: DNA binding#GO:0003682: chromatin binding#GO:0003700: sequence-specific DNA binding transcription factor activity#GO:0003712: transcription cofactor activity#GO:0003713: transcription coactivator activity#GO:0004402: histone acetyltransferase activity#GO:0004871: signal transducer activity#GO:0005515: protein binding#GO:0008134: transcription factor binding#GO:0008270: zinc ion binding#GO:0016407: acetyltransferase activity#GO:0043426: MRF binding,"GO:0000987: core promoter proximal region sequence-specific DNA binding,GO:0001078: RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription,GO:0001085: RNA polymerase II transcription factor binding,GO:0001102: RNA polymerase II activating transcription factor binding,GO:0001105: RNA polymerase II transcription coactivator activity,GO:0001191: RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription,GO:0002039: p53 binding,GO:0003677: DNA binding,GO:0003682: chromatin binding,GO:0003700: sequence-specific DNA binding transcription factor activity,GO:0003712: transcription cofactor activity,GO:0003713: transcription coactivator activity,GO:0004402: histone acetyltransferase activity,GO:0004871: signal transducer activity,GO:0005515: protein binding,GO:0008134: transcription factor binding,GO:0008270: zinc ion binding,GO:0016407: acetyltransferase activity,GO:0043426: MRF binding",Nucleus,497,51,12342|12346|752593|750594|746627|754463,,Crebbp|IDBG-129513|ENSMUSG00000022521|12914,CREBBP|IDBG-636113|ENSBTAG00000026403|505453,2/20/17
12497,Homo sapiens,9606,ENSG00000197540,3004,GZMM,granzyme M (lymphocyte met-ase 1) ,LMET1|MET1,GZMM|IDBG-12497|ENSG00000197540|3004,544034,549924,1,19,p13.3,GO:0003824|catalytic activity|molecular_function#GO:0004175|endopeptidase activity|molecular_function#GO:0004252|serine-type endopeptidase activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0006508|proteolysis|biological_process#GO:0006915|apoptotic process|biological_process#GO:0008236|serine-type peptidase activity|molecular_function#GO:0016020|membrane|cellular_component#GO:0019835|cytolysis|biological_process#GO:0045087|innate immune response|biological_process, serine-type peptidase activity,GO:0003824: catalytic activity#GO:0004175: endopeptidase activity#GO:0004252: serine-type endopeptidase activity#GO:0005515: protein binding#GO:0008236: serine-type peptidase activity,"GO:0003824: catalytic activity,GO:0004175: endopeptidase activity,GO:0004252: serine-type endopeptidase activity,GO:0005515: protein binding,GO:0008236: serine-type peptidase activity",Extracellular,18,0,12499|810861,,Gzmm|IDBG-170467|ENSMUSG00000054206|16904,BT.31474|IDBG-645482|ENSBTAG00000002100|512272,2/20/17
12514,Homo sapiens,9606,ENSG00000162104,115,ADCY9,adenylate cyclase 9 ,AC9,ADCY9|IDBG-12514|ENSG00000162104|115,3953387,4116185,-1,16,p13.3,GO:0004016|adenylate cyclase activity|molecular_function#GO:0005524|ATP binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006112|energy reserve metabolic process|biological_process#GO:0006171|cAMP biosynthetic process|biological_process#GO:0006833|water transport|biological_process#GO:0007165|signal transduction|biological_process#GO:0007173|epidermal growth factor receptor signaling pathway|biological_process#GO:0007189|adenylate cyclase-activating G-protein coupled receptor signaling pathway|biological_process#GO:0007193|adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway|biological_process#GO:0007202|activation of phospholipase C activity|biological_process#GO:0007268|synaptic transmission|biological_process#GO:0008543|fibroblast growth factor receptor signaling pathway|biological_process#GO:0009190|cyclic nucleotide biosynthetic process|biological_process#GO:0016849|phosphorus-oxygen lyase activity|molecular_function#GO:0034199|activation of protein kinase A activity|biological_process#GO:0035556|intracellular signal transduction|biological_process#GO:0044281|small molecule metabolic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0046872|metal ion binding|molecular_function#GO:0048011|neurotrophin TRK receptor signaling pathway|biological_process#GO:0055085|transmembrane transport|biological_process#GO:0071377|cellular response to glucagon stimulus|biological_process, metal ion binding,GO:0004016: adenylate cyclase activity#GO:0005524: ATP binding#GO:0016849: phosphorus-oxygen lyase activity#GO:0046872: metal ion binding,"GO:0004016: adenylate cyclase activity,GO:0005524: ATP binding,GO:0016849: phosphorus-oxygen lyase activity,GO:0046872: metal ion binding",Plasma membrane,2,0,12516|747328|751693|754400,,Adcy9|IDBG-129643|ENSMUSG00000005580|11515,ADCY9|IDBG-636141|ENSBTAG00000016629|525482,2/20/17
12620,Homo sapiens,9606,ENSG00000070388,27006,FGF22,fibroblast growth factor 22 ,,FGF22|IDBG-12620|ENSG00000070388|27006,639879,643703,1,19,p13.3,GO:0005104|fibroblast growth factor receptor binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005730|nucleolus|cellular_component#GO:0005794|Golgi apparatus|cellular_component#GO:0007173|epidermal growth factor receptor signaling pathway|biological_process#GO:0008083|growth factor activity|molecular_function#GO:0008286|insulin receptor signaling pathway|biological_process#GO:0008543|fibroblast growth factor receptor signaling pathway|biological_process#GO:0009986|cell surface|cellular_component#GO:0030154|cell differentiation|biological_process#GO:0038095|Fc-epsilon receptor signaling pathway|biological_process#GO:0045087|innate immune response|biological_process#GO:0048011|neurotrophin TRK receptor signaling pathway|biological_process#GO:0048015|phosphatidylinositol-mediated signaling|biological_process, growth factor activity,GO:0005104: fibroblast growth factor receptor binding#GO:0005515: protein binding#GO:0008083: growth factor activity,"GO:0005104: fibroblast growth factor receptor binding,GO:0005515: protein binding,GO:0008083: growth factor activity",Nucleus,4,1,12622|765561,,Fgf22|IDBG-170778|ENSMUSG00000020327|67112,FGF22|IDBG-645499|ENSBTAG00000027357|519657,2/20/17
12649,Homo sapiens,9606,ENSG00000155849,9844,ELMO1,engulfment and cell motility 1 ,CED-12|CED12|ELMO-1,ELMO1|IDBG-12649|ENSG00000155849|9844,36854361,37449249,-1,7,p14.1,"GO:0005488|binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0005829|cytosol|cellular_component#GO:0005856|cytoskeleton|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006909|phagocytosis|biological_process#GO:0006911|phagocytosis, engulfment|biological_process#GO:0006915|apoptotic process|biological_process#GO:0006928|cellular component movement|biological_process#GO:0016020|membrane|cellular_component#GO:0016032|viral process|biological_process#GO:0016601|Rac protein signal transduction|biological_process#GO:0017124|SH3 domain binding|molecular_function#GO:0030029|actin filament-based process|biological_process#GO:0030036|actin cytoskeleton organization|biological_process#GO:0038096|Fc-gamma receptor signaling pathway involved in phagocytosis|biological_process#GO:0045087|innate immune response|biological_process#GO:0050690|regulation of defense response to virus by virus|biological_process", SH3 domain binding,GO:0005488: binding#GO:0005515: protein binding#GO:0017124: SH3 domain binding,"GO:0005488: binding,GO:0005515: protein binding,GO:0017124: SH3 domain binding",Plasma membrane,17,2,12651|238292|238296|372359|372361|372363|372364|372367|372368|372370|372372|372373,,Elmo1|IDBG-132929|ENSMUSG00000041112|140580,ELMO1|IDBG-633074|ENSBTAG00000003490|509821,2/20/17
12957,Homo sapiens,9606,ENSG00000170345,2353,FOS,FBJ murine osteosarcoma viral oncogene homolog ,AP-1|C-FOS|p55,FOS|IDBG-12957|ENSG00000170345|2353,75278774,75282230,1,14,q24.3,"GO:0000979|RNA polymerase II core promoter sequence-specific DNA binding|molecular_function#GO:0001661|conditioned taste aversion|biological_process#GO:0002224|toll-like receptor signaling pathway|biological_process#GO:0002755|MyD88-dependent toll-like receptor signaling pathway|biological_process#GO:0002756|MyD88-independent toll-like receptor signaling pathway|biological_process#GO:0003677|DNA binding|molecular_function#GO:0003690|double-stranded DNA binding|molecular_function#GO:0003700|sequence-specific DNA binding transcription factor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005654|nucleoplasm|cellular_component#GO:0005667|transcription factor complex|cellular_component#GO:0005783|endoplasmic reticulum|cellular_component#GO:0005829|cytosol|cellular_component#GO:0006306|DNA methylation|biological_process#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006357|regulation of transcription from RNA polymerase II promoter|biological_process#GO:0006366|transcription from RNA polymerase II promoter|biological_process#GO:0006954|inflammatory response|biological_process#GO:0007179|transforming growth factor beta receptor signaling pathway|biological_process#GO:0007399|nervous system development|biological_process#GO:0007565|female pregnancy|biological_process#GO:0007568|aging|biological_process#GO:0008134|transcription factor binding|molecular_function#GO:0009409|response to cold|biological_process#GO:0009416|response to light stimulus|biological_process#GO:0009612|response to mechanical stimulus|biological_process#GO:0009629|response to gravity|biological_process#GO:0009636|response to toxic substance|biological_process#GO:0014070|response to organic cyclic compound|biological_process#GO:0016020|membrane|cellular_component#GO:0030431|sleep|biological_process#GO:0031668|cellular response to extracellular stimulus|biological_process#GO:0032496|response to lipopolysaccharide|biological_process#GO:0032570|response to progesterone|biological_process#GO:0032870|cellular response to hormone stimulus|biological_process#GO:0034097|response to cytokine|biological_process#GO:0034134|toll-like receptor 2 signaling pathway|biological_process#GO:0034138|toll-like receptor 3 signaling pathway|biological_process#GO:0034142|toll-like receptor 4 signaling pathway|biological_process#GO:0034146|toll-like receptor 5 signaling pathway|biological_process#GO:0034162|toll-like receptor 9 signaling pathway|biological_process#GO:0034166|toll-like receptor 10 signaling pathway|biological_process#GO:0034614|cellular response to reactive oxygen species|biological_process#GO:0035666|TRIF-dependent toll-like receptor signaling pathway|biological_process#GO:0035902|response to immobilization stress|biological_process#GO:0035914|skeletal muscle cell differentiation|biological_process#GO:0038095|Fc-epsilon receptor signaling pathway|biological_process#GO:0038123|toll-like receptor TLR1:TLR2 signaling pathway|biological_process#GO:0038124|toll-like receptor TLR6:TLR2 signaling pathway|biological_process#GO:0042493|response to drug|biological_process#GO:0043005|neuron projection|cellular_component#GO:0043565|sequence-specific DNA binding|molecular_function#GO:0044212|transcription regulatory region DNA binding|molecular_function#GO:0045087|innate immune response|biological_process#GO:0045672|positive regulation of osteoclast differentiation|biological_process#GO:0045893|positive regulation of transcription, DNA-templated|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0051090|regulation of sequence-specific DNA binding transcription factor activity|biological_process#GO:0051403|stress-activated MAPK cascade|biological_process#GO:0051412|response to corticosterone|biological_process#GO:0051591|response to cAMP|biological_process#GO:0060395|SMAD protein signal transduction|biological_process#GO:0070412|R-SMAD binding|molecular_function#GO:0071277|cellular response to calcium ion|biological_process", R-SMAD binding,GO:0000979: RNA polymerase II core promoter sequence-specific DNA binding#GO:0003677: DNA binding#GO:0003690: double-stranded DNA binding#GO:0003700: sequence-specific DNA binding transcription factor activity#GO:0005515: protein binding#GO:0008134: transcription factor binding#GO:0043565: sequence-specific DNA binding#GO:0044212: transcription regulatory region DNA binding#GO:0070412: R-SMAD binding,"GO:0000979: RNA polymerase II core promoter sequence-specific DNA binding,GO:0003677: DNA binding,GO:0003690: double-stranded DNA binding,GO:0003700: sequence-specific DNA binding transcription factor activity,GO:0005515: protein binding,GO:0008134: transcription factor binding,GO:0043565: sequence-specific DNA binding,GO:0044212: transcription regulatory region DNA binding,GO:0070412: R-SMAD binding",Nucleus,186,37,12959|585083|597189|589558|595373|601970|600819|583434|596494,,Fos|IDBG-158538|ENSMUSG00000021250|14281,FOS|IDBG-646869|ENSBTAG00000004322|280795,2/20/17
12968,Homo sapiens,9606,ENSG00000118972,8074,FGF23,fibroblast growth factor 23 ,ADHR|FGFN|HPDR2|HYPF|PHPTC,FGF23|IDBG-12968|ENSG00000118972|8074,4368227,4379728,-1,12,p13.32,"GO:0005104|fibroblast growth factor receptor binding|molecular_function#GO:0005105|type 1 fibroblast growth factor receptor binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0006796|phosphate-containing compound metabolic process|biological_process#GO:0007173|epidermal growth factor receptor signaling pathway|biological_process#GO:0008083|growth factor activity|molecular_function#GO:0008286|insulin receptor signaling pathway|biological_process#GO:0008543|fibroblast growth factor receptor signaling pathway|biological_process#GO:0010966|regulation of phosphate transport|biological_process#GO:0010980|positive regulation of vitamin D 24-hydroxylase activity|biological_process#GO:0030154|cell differentiation|biological_process#GO:0030500|regulation of bone mineralization|biological_process#GO:0030502|negative regulation of bone mineralization|biological_process#GO:0030643|cellular phosphate ion homeostasis|biological_process#GO:0038095|Fc-epsilon receptor signaling pathway|biological_process#GO:0042359|vitamin D metabolic process|biological_process#GO:0042369|vitamin D catabolic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0045668|negative regulation of osteoblast differentiation|biological_process#GO:0045893|positive regulation of transcription, DNA-templated|biological_process#GO:0046888|negative regulation of hormone secretion|biological_process#GO:0048011|neurotrophin TRK receptor signaling pathway|biological_process#GO:0048015|phosphatidylinositol-mediated signaling|biological_process#GO:0055062|phosphate ion homeostasis|biological_process#GO:0070374|positive regulation of ERK1 and ERK2 cascade|biological_process#GO:0090080|positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway|biological_process", growth factor activity,GO:0005104: fibroblast growth factor receptor binding#GO:0005105: type 1 fibroblast growth factor receptor binding#GO:0005515: protein binding#GO:0008083: growth factor activity,"GO:0005104: fibroblast growth factor receptor binding,GO:0005105: type 1 fibroblast growth factor receptor binding,GO:0005515: protein binding,GO:0008083: growth factor activity",Extracellular,9,3,12970,,Fgf23|IDBG-190534|ENSMUSG00000000182|64654,FGF23|IDBG-640706|ENSBTAG00000030343|530239,2/20/17
12990,Homo sapiens,9606,ENSG00000111241,2251,FGF6,fibroblast growth factor 6 ,HBGF-6|HST2,FGF6|IDBG-12990|ENSG00000111241|2251,4428155,4445614,-1,12,p13.32,GO:0001502|cartilage condensation|biological_process#GO:0001525|angiogenesis|biological_process#GO:0005104|fibroblast growth factor receptor binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0007165|signal transduction|biological_process#GO:0007173|epidermal growth factor receptor signaling pathway|biological_process#GO:0007267|cell-cell signaling|biological_process#GO:0008083|growth factor activity|molecular_function#GO:0008283|cell proliferation|biological_process#GO:0008284|positive regulation of cell proliferation|biological_process#GO:0008286|insulin receptor signaling pathway|biological_process#GO:0008543|fibroblast growth factor receptor signaling pathway|biological_process#GO:0038095|Fc-epsilon receptor signaling pathway|biological_process#GO:0042383|sarcolemma|cellular_component#GO:0045087|innate immune response|biological_process#GO:0045445|myoblast differentiation|biological_process#GO:0048011|neurotrophin TRK receptor signaling pathway|biological_process#GO:0048015|phosphatidylinositol-mediated signaling|biological_process#GO:0051781|positive regulation of cell division|biological_process, growth factor activity,GO:0005104: fibroblast growth factor receptor binding#GO:0008083: growth factor activity,"GO:0005104: fibroblast growth factor receptor binding,GO:0008083: growth factor activity",Extracellular,1,0,12992|602261,,Fgf6|IDBG-190525|ENSMUSG00000000183|14177,FGF6|IDBG-640703|ENSBTAG00000006800|540317,2/20/17
13084,Homo sapiens,9606,ENSG00000196415,5657,PRTN3,proteinase 3 ,ACPA|AGP7|C-ANCA|CANCA|MBN|MBT|NP-4|NP4|P29|PR-3|PR3,PRTN3|IDBG-13084|ENSG00000196415|5657,840960,848175,1,19,p13.3,GO:0003824|catalytic activity|molecular_function#GO:0004252|serine-type endopeptidase activity|molecular_function#GO:0005615|extracellular space|cellular_component#GO:0005829|cytosol|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006508|proteolysis|biological_process#GO:0008236|serine-type peptidase activity|molecular_function#GO:0008284|positive regulation of cell proliferation|biological_process#GO:0019899|enzyme binding|molecular_function#GO:0030574|collagen catabolic process|biological_process#GO:0031012|extracellular matrix|cellular_component#GO:0045087|innate immune response|biological_process#GO:0050765|negative regulation of phagocytosis|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0097029|mature dendritic cell differentiation|biological_process, enzyme binding,GO:0003824: catalytic activity#GO:0004252: serine-type endopeptidase activity#GO:0008236: serine-type peptidase activity#GO:0019899: enzyme binding,"GO:0003824: catalytic activity,GO:0004252: serine-type endopeptidase activity,GO:0008236: serine-type peptidase activity,GO:0019899: enzyme binding",Extracellular,17,1,13086|811471,,Prtn3|IDBG-171313|ENSMUSG00000057729|19152,PRTN3|IDBG-645521|ENSBTAG00000046105|100298591,2/20/17
13090,Homo sapiens,9606,ENSG00000154124,90268,FAM105B,"family with sequence similarity 105, member B ",,FAM105B|IDBG-13090|ENSG00000154124|90268,14664664,14699711,1,5,p15.2,GO:0002040|sprouting angiogenesis|biological_process#GO:0004843|ubiquitin-specific protease activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0006508|proteolysis|biological_process#GO:0008234|cysteine-type peptidase activity|molecular_function#GO:0032088|negative regulation of NF-kappaB transcription factor activity|biological_process#GO:0045087|innate immune response|biological_process#GO:0050728|negative regulation of inflammatory response|biological_process#GO:0060070|canonical Wnt signaling pathway|biological_process#GO:0070431|nucleotide-binding oligomerization domain containing 2 signaling pathway|biological_process#GO:0071797|LUBAC complex|cellular_component#GO:1990108|protein linear deubiquitination|biological_process, cysteine-type peptidase activity,GO:0004843: ubiquitin-specific protease activity#GO:0005515: protein binding#GO:0008234: cysteine-type peptidase activity,"GO:0004843: ubiquitin-specific protease activity,GO:0005515: protein binding,GO:0008234: cysteine-type peptidase activity",Cytoplasm,17,0,13092|474324|477597|480865,,Fam105b|IDBG-131479|ENSMUSG00000046034|432940,LOC508963|IDBG-631199|ENSBTAG00000003186|508963,2/20/17
13111,Homo sapiens,9606,ENSG00000197561,1991,ELANE,"elastase, neutrophil expressed ",ELA2|GE|HLE|HNE|NE|PMN-E|SCN1,ELANE|IDBG-13111|ENSG00000197561|1991,851014,856247,1,19,p13.3,GO:0000122|negative regulation of transcription from RNA polymerase II promoter|biological_process#GO:0001106|RNA polymerase II transcription corepressor activity|molecular_function#GO:0001878|response to yeast|biological_process#GO:0002020|protease binding|molecular_function#GO:0002438|acute inflammatory response to antigenic stimulus|biological_process#GO:0003824|catalytic activity|molecular_function#GO:0004175|endopeptidase activity|molecular_function#GO:0004252|serine-type endopeptidase activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0006508|proteolysis|biological_process#GO:0006874|cellular calcium ion homeostasis|biological_process#GO:0006909|phagocytosis|biological_process#GO:0008201|heparin binding|molecular_function#GO:0008233|peptidase activity|molecular_function#GO:0009411|response to UV|biological_process#GO:0009986|cell surface|cellular_component#GO:0017053|transcriptional repressor complex|cellular_component#GO:0019955|cytokine binding|molecular_function#GO:0022617|extracellular matrix disassembly|biological_process#GO:0030141|secretory granule|cellular_component#GO:0030163|protein catabolic process|biological_process#GO:0030198|extracellular matrix organization|biological_process#GO:0030574|collagen catabolic process|biological_process#GO:0032496|response to lipopolysaccharide|biological_process#GO:0042742|defense response to bacterium|biological_process#GO:0043406|positive regulation of MAP kinase activity|biological_process#GO:0044130|negative regulation of growth of symbiont in host|biological_process#GO:0045079|negative regulation of chemokine biosynthetic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0045415|negative regulation of interleukin-8 biosynthetic process|biological_process#GO:0045416|positive regulation of interleukin-8 biosynthetic process|biological_process#GO:0048661|positive regulation of smooth muscle cell proliferation|biological_process#GO:0050728|negative regulation of inflammatory response|biological_process#GO:0050778|positive regulation of immune response|biological_process#GO:0050832|defense response to fungus|biological_process#GO:0050900|leukocyte migration|biological_process#GO:0050922|negative regulation of chemotaxis|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0070947|neutrophil mediated killing of fungus|biological_process, cytokine binding,GO:0001106: RNA polymerase II transcription corepressor activity#GO:0002020: protease binding#GO:0003824: catalytic activity#GO:0004175: endopeptidase activity#GO:0004252: serine-type endopeptidase activity#GO:0005515: protein binding#GO:0008201: heparin binding#GO:0008233: peptidase activity#GO:0019955: cytokine binding,"GO:0001106: RNA polymerase II transcription corepressor activity,GO:0002020: protease binding,GO:0003824: catalytic activity,GO:0004175: endopeptidase activity,GO:0004252: serine-type endopeptidase activity,GO:0005515: protein binding,GO:0008201: heparin binding,GO:0008233: peptidase activity,GO:0019955: cytokine binding",Extracellular,55,4,13113|765684,,Elane|IDBG-171367|ENSMUSG00000020125|50701,ELA2|IDBG-645525|ENSBTAG00000046188|100126050,2/20/17
