family,number_of_members,members_found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTHR11461,3,SERPINB9,SERPINB9,SERPINB9,,,,,,,,,,,,,,
PTHR24085,1,NR4A1,,,,,,,,,,,,,,,,
PTHR10155,1,PIK3R1,,,,,,,,,,,,,,,,
PTHR10071,3,GATA3,GATA4,GATA4,,,,,,,,,,,,,,
PTHR12874,1,FBXO9,,,,,,,,,,,,,,,,
PTHR24361,3,MAP2K6,MAP2K6,MAP2K6,,,,,,,,,,,,,,
PTHR10653,1,CAPZA2,,,,,,,,,,,,,,,,
PTHR12391,1,ARPC3,,,,,,,,,,,,,,,,
PTHR10410,3,COPS5,COPS5,COPS5,,,,,,,,,,,,,,
PTHR11177,1,CHID1,,,,,,,,,,,,,,,,
PTHR12027,2,WNT2B,WNT3A,,,,,,,,,,,,,,,
PTHR10159,2,DUSP6,DUSP16,,,,,,,,,,,,,,,
PTHR13040,1,ATG5,,,,,,,,,,,,,,,,
PTHR11849,4,ETS1,FLI1,FLI1,ELK1,,,,,,,,,,,,,
PTHR10657,2,PIN1,PIN1,,,,,,,,,,,,,,,
PTHR10677,1,UBQLN1,,,,,,,,,,,,,,,,
PTHR19969,1,CRK,,,,,,,,,,,,,,,,
PTHR23181,1,ARHGAP15,,,,,,,,,,,,,,,,
PTHR11830,1,CYLD,,,,,,,,,,,,,,,,
PTHR11945,2,MEF2C,MEF2A,,,,,,,,,,,,,,,
PTHR10856,1,CORO1A,,,,,,,,,,,,,,,,
PTHR10026,1,CCNT1,,,,,,,,,,,,,,,,
PTHR12400,1,IP6K1,,,,,,,,,,,,,,,,
PTHR28657,1,IDO1,,,,,,,,,,,,,,,,
PTHR12780,1,POLR3F,,,,,,,,,,,,,,,,
PTHR10621,1,RAD23A,,,,,,,,,,,,,,,,
PTHR16461,1,TOLLIP,,,,,,,,,,,,,,,,
PTHR13871,1,NXN,,,,,,,,,,,,,,,,
PTHR11800,1,POLR1C,,,,,,,,,,,,,,,,
PTHR11801,1,STAT5A,,,,,,,,,,,,,,,,
PTHR16484,1,PARD3,,,,,,,,,,,,,,,,
PTHR12585,1,RAD21,,,,,,,,,,,,,,,,
PTHR11710,1,RPS19,,,,,,,,,,,,,,,,
PTHR10177,1,CCNA2,,,,,,,,,,,,,,,,
PTHR12709,1,POLR3H,,,,,,,,,,,,,,,,
PTHR20648,1,ELOC,,,,,,,,,,,,,,,,
PTHR22825,1,ARHGEF2,,,,,,,,,,,,,,,,
PTHR13711,2,SMARCE1,HMGB1,,,,,,,,,,,,,,,
PTHR11546,1,HNRNPL,,,,,,,,,,,,,,,,
PTHR11960,2,EIF4E,EIF4E,,,,,,,,,,,,,,,
PTHR12665,1,ORMDL3,,,,,,,,,,,,,,,,
PTHR12287,1,EPS8,,,,,,,,,,,,,,,,
PTHR24419,1,IRAK1,,,,,,,,,,,,,,,,
PTHR13298,2,RICTOR,RICTOR,,,,,,,,,,,,,,,
PTHR10917,1,POLR2H,,,,,,,,,,,,,,,,
PTHR11239,1,POLR3K,,,,,,,,,,,,,,,,
PTHR10773,1,POLR2F,,,,,,,,,,,,,,,,
PTHR12121,1,PDE12,,,,,,,,,,,,,,,,
PTHR19282,2,CD63,CD53,,,,,,,,,,,,,,,
PTHR21252,1,SLC25A46,,,,,,,,,,,,,,,,
PTHR12630,1,PRKCSH,,,,,,,,,,,,,,,,
PTHR12931,2,OTUB1,OTUB1,,,,,,,,,,,,,,,
PTHR11905,4,ADAM10,ADAM33,ADAM33,ADAM10,,,,,,,,,,,,,
PTHR24265,1,F11,,,,,,,,,,,,,,,,
PTHR23413,1,POLR2L,,,,,,,,,,,,,,,,
PTHR10333,1,ING4,,,,,,,,,,,,,,,,
PTHR28629,2,TKFC,TKFC,,,,,,,,,,,,,,,
PTHR12354,1,IFRD1,,,,,,,,,,,,,,,,
PTHR19857,1,AAMP,,,,,,,,,,,,,,,,
PTHR13113,1,ECSIT,,,,,,,,,,,,,,,,
PTHR10288,1,PCBP2,,,,,,,,,,,,,,,,
PTHR11346,5,LGALS4,LGALS9,LGALS4,LGALS8,LGALS8,,,,,,,,,,,,
PTHR19212,1,LRRFIP2,,,,,,,,,,,,,,,,
PTHR10900,2,POSTN,POSTN,,,,,,,,,,,,,,,
PTHR11256,1,BCL2L1,,,,,,,,,,,,,,,,
PTHR22952,1,CREB1,,,,,,,,,,,,,,,,
PTHR10337,1,SHC1,,,,,,,,,,,,,,,,
PTHR10306,1,SYP,,,,,,,,,,,,,,,,
PTHR22998,1,SARM1,,,,,,,,,,,,,,,,
PTHR19139,1,AQP3,,,,,,,,,,,,,,,,
PTHR13335,1,MAPKAP1,,,,,,,,,,,,,,,,
PTHR12442,1,WDR34,,,,,,,,,,,,,,,,
PTHR10844,1,CAV1,,,,,,,,,,,,,,,,
PTHR10201,1,MMP7,,,,,,,,,,,,,,,,
PTHR10460,1,ABI1,,,,,,,,,,,,,,,,
PTHR22576,1,MALT1,,,,,,,,,,,,,,,,
PTHR11571,1,GSTP1,,,,,,,,,,,,,,,,
PTHR10826,1,C1QBP,,,,,,,,,,,,,,,,
PTHR19143,2,FCN3,FCN3,,,,,,,,,,,,,,,
PTHR11954,1,MIF,,,,,,,,,,,,,,,,
PTHR24257,1,PRTN3,,,,,,,,,,,,,,,,
PTHR11486,2,FGF20,FGF16,,,,,,,,,,,,,,,
PTHR19325,2,CR1,SELE,,,,,,,,,,,,,,,
PTHR15154,1,TSC1,,,,,,,,,,,,,,,,
PTHR17583,1,PIK3R4,,,,,,,,,,,,,,,,
PTHR24102,5,ZMYND11,ZMYND11,ZMYND11,ZMYND11,ZMYND11,,,,,,,,,,,,
PTHR46185,1,GLRX,,,,,,,,,,,,,,,,
PTHR12056,1,POLR2K,,,,,,,,,,,,,,,,
PTHR12779,1,WAS,,,,,,,,,,,,,,,,
PTHR33668,1,BRK1,,,,,,,,,,,,,,,,
PTHR12348,3,TSC22D3,TSC22D3,TSC22D3,,,,,,,,,,,,,,
PTHR24021,17,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO,MARCO
PTHR11991,1,TPT1,,,,,,,,,,,,,,,,
PTHR24052,5,DLK1,DLK1,DLK1,DLK1,DLK1,,,,,,,,,,,,
PTHR10782,1,PIAS2,,,,,,,,,,,,,,,,
PTHR11586,1,AIMP1,,,,,,,,,,,,,,,,
PTHR12606,1,SENP2,,,,,,,,,,,,,,,,
PTHR13339,1,COPS8,,,,,,,,,,,,,,,,
PTHR12069,1,POLR3E,,,,,,,,,,,,,,,,
PTHR24365,1,TLR8,,,,,,,,,,,,,,,,
PTHR28524,1,SDHAF4,,,,,,,,,,,,,,,,
PTHR13800,11,TRPM2,TRPM2,TRPM2,TRPM2,TRPM2,TRPM2,TRPM2,TRPM2,TRPM2,TRPM2,TRPM2,,,,,,
PTHR10504,5,BPI,BPI,BPI,BPI,LBP,,,,,,,,,,,,
PTHR24268,1,TPSB2,,,,,,,,,,,,,,,,
PTHR11373,1,SAMHD1,,,,,,,,,,,,,,,,
PTHR12274,1,GRN,,,,,,,,,,,,,,,,
PTHR10910,1,PRKRA,,,,,,,,,,,,,,,,
PTHR13742,1,RB1,,,,,,,,,,,,,,,,
PTHR15090,2,SQSTM1,SQSTM1,,,,,,,,,,,,,,,
PTHR21258,1,FRS2,,,,,,,,,,,,,,,,
PTHR22906,1,CFP,,,,,,,,,,,,,,,,
PTHR13293,1,AKIRIN2,,,,,,,,,,,,,,,,
PTHR13357,1,NCKIPSD,,,,,,,,,,,,,,,,
PTHR11254,1,HACE1,,,,,,,,,,,,,,,,
PTHR10122,1,COX5B,,,,,,,,,,,,,,,,
PTHR12966,1,NDUFA13,,,,,,,,,,,,,,,,
PTHR15561,1,CRCP,,,,,,,,,,,,,,,,
PTHR22937,1,TRAIP,,,,,,,,,,,,,,,,
nan,4,nan,nan,nan,nan,,,,,,,,,,,,,
