ensembl,gene,transcript,ensemblfamily
ENSG00000004487,KDM1A,ENST00000494920,PTHR10742_SF245
ENSG00000005249,PRKAR2B,ENST00000393613,
ENSG00000005249,PRKAR2B,ENST00000265717,PTHR11635_SF121
ENSG00000005249,PRKAR2B,ENST00000488792,
ENSG00000005884,ITGA3,ENST00000515147,
ENSG00000005884,ITGA3,ENST00000506437,
ENSG00000005884,ITGA3,ENST00000512553,PTHR23220_SF75
ENSG00000005884,ITGA3,ENST00000506401,PTHR23220_SF75
ENSG00000005884,ITGA3,ENST00000505552,
ENSG00000005884,ITGA3,ENST00000570989,
ENSG00000005884,ITGA3,ENST00000504417,
ENSG00000005884,ITGA3,ENST00000514834,
ENSG00000005884,ITGA3,ENST00000320031,PTHR23220_SF75
ENSG00000005884,ITGA3,ENST00000508100,
ENSG00000005884,ITGA3,ENST00000506827,PTHR23220_SF75
ENSG00000005884,ITGA3,ENST00000007722,PTHR23220_SF75
ENSG00000005884,ITGA3,ENST00000505612,
ENSG00000005884,ITGA3,ENST00000507771,
ENSG00000005884,ITGA3,ENST00000510809,PTHR23220_SF75
ENSG00000005884,ITGA3,ENST00000505306,
ENSG00000006062,MAP3K14,ENST00000376926,PTHR24361_SF226
ENSG00000006062,MAP3K14,ENST00000586644,
ENSG00000006062,MAP3K14,ENST00000592267,
ENSG00000006062,MAP3K14,ENST00000617331,PTHR24361_SF226
ENSG00000006062,MAP3K14,ENST00000344686,PTHR24361_SF226
ENSG00000006327,TNFRSF12A,ENST00000575124,
ENSG00000006327,TNFRSF12A,ENST00000326577,PTHR32037
ENSG00000006327,TNFRSF12A,ENST00000571351,
ENSG00000006327,TNFRSF12A,ENST00000341627,PTHR32037
ENSG00000006327,TNFRSF12A,ENST00000574699,
ENSG00000006327,TNFRSF12A,ENST00000573001,PTHR32037
ENSG00000006327,TNFRSF12A,ENST00000575836,
ENSG00000007171,NOS2,ENST00000621962,PTHR19384_SF56
ENSG00000007171,NOS2,ENST00000646938,PTHR19384_SF56
ENSG00000007171,NOS2,ENST00000313735,PTHR19384_SF56
ENSG00000007952,NOX1,ENST00000217885,PTHR11972_SF10
ENSG00000007952,NOX1,ENST00000427768,PTHR11972_SF10
ENSG00000007952,NOX1,ENST00000372960,PTHR11972_SF10
ENSG00000007952,NOX1,ENST00000372964,PTHR11972_SF10
ENSG00000007952,NOX1,ENST00000372966,PTHR11972_SF10
ENSG00000008438,PGLYRP1,ENST00000008938,PTHR11022_SF32
ENSG00000008517,IL32,ENST00000532247,
ENSG00000008517,IL32,ENST00000526464,TF341753
ENSG00000008517,IL32,ENST00000548807,TF341753
ENSG00000008517,IL32,ENST00000525643,TF341753
ENSG00000008517,IL32,ENST00000548652,TF341753
ENSG00000008517,IL32,ENST00000528163,TF341753
ENSG00000008517,IL32,ENST00000551122,TF341753
ENSG00000008517,IL32,ENST00000444393,TF341753
ENSG00000008517,IL32,ENST00000533097,TF341753
ENSG00000008517,IL32,ENST00000549213,TF341753
ENSG00000008517,IL32,ENST00000525003,
ENSG00000008517,IL32,ENST00000552936,TF341753
ENSG00000008517,IL32,ENST00000008180,TF341753
ENSG00000008517,IL32,ENST00000613483,TF341753
ENSG00000008517,IL32,ENST00000396890,TF341753
ENSG00000008517,IL32,ENST00000396887,TF341753
ENSG00000008517,IL32,ENST00000382213,TF341753
ENSG00000008517,IL32,ENST00000548476,TF341753
ENSG00000008517,IL32,ENST00000551513,TF341753
ENSG00000008517,IL32,ENST00000532086,
ENSG00000008517,IL32,ENST00000525228,TF341753
ENSG00000008517,IL32,ENST00000552664,TF341753
ENSG00000008517,IL32,ENST00000530890,TF341753
ENSG00000008517,IL32,ENST00000528652,
ENSG00000008517,IL32,ENST00000529699,TF341753
ENSG00000008517,IL32,ENST00000530538,TF341753
ENSG00000008517,IL32,ENST00000552356,TF341753
ENSG00000008517,IL32,ENST00000531965,TF341753
ENSG00000008517,IL32,ENST00000548246,TF341753
ENSG00000008517,IL32,ENST00000534748,
ENSG00000008517,IL32,ENST00000529550,TF341753
ENSG00000008517,IL32,ENST00000440815,TF341753
ENSG00000008517,IL32,ENST00000525377,TF341753
ENSG00000008517,IL32,ENST00000325568,TF341753
ENSG00000008517,IL32,ENST00000534507,TF341753
ENSG00000009724,MASP2,ENST00000400897,PTHR24255
ENSG00000009724,MASP2,ENST00000400898,PTHR24255
ENSG00000009724,MASP2,ENST00000478645,
ENSG00000009724,MASP2,ENST00000480221,
ENSG00000010017,RANBP9,ENST00000469916,
ENSG00000010017,RANBP9,ENST00000011619,PTHR12864_SF16
ENSG00000010438,PRSS3,ENST00000429677,PTHR24264
ENSG00000010438,PRSS3,ENST00000379405,PTHR24264
ENSG00000010438,PRSS3,ENST00000457896,PTHR24264
ENSG00000010438,PRSS3,ENST00000495682,
ENSG00000010438,PRSS3,ENST00000342836,PTHR24264
ENSG00000010438,PRSS3,ENST00000361005,PTHR24264
ENSG00000010438,PRSS3,ENST00000477653,
ENSG00000010438,PRSS3,ENST00000468152,
ENSG00000010610,CD4,ENST00000541982,PTHR11422
ENSG00000010610,CD4,ENST00000544344,
ENSG00000010610,CD4,ENST00000437800,
ENSG00000010610,CD4,ENST00000011653,PTHR11422
ENSG00000010610,CD4,ENST00000535707,
ENSG00000010610,CD4,ENST00000535466,
ENSG00000010610,CD4,ENST00000543755,
ENSG00000010610,CD4,ENST00000536590,
ENSG00000010610,CD4,ENST00000536563,
ENSG00000010610,CD4,ENST00000538827,
ENSG00000010610,CD4,ENST00000536610,
ENSG00000010610,CD4,ENST00000539492,
ENSG00000010671,BTK,ENST00000618050,PTHR24418_SF92
ENSG00000010671,BTK,ENST00000372880,PTHR24418_SF92
ENSG00000010671,BTK,ENST00000621635,PTHR24418_SF92
ENSG00000010671,BTK,ENST00000488970,
ENSG00000010671,BTK,ENST00000308731,PTHR24418_SF92
ENSG00000010671,BTK,ENST00000464567,
ENSG00000010671,BTK,ENST00000478995,
ENSG00000010671,BTK,ENST00000470069,
ENSG00000010671,BTK,ENST00000470329,
ENSG00000010671,BTK,ENST00000464006,
ENSG00000011422,PLAUR,ENST00000601723,PTHR10624
ENSG00000011422,PLAUR,ENST00000598875,
ENSG00000011422,PLAUR,ENST00000599892,PTHR10624
ENSG00000011422,PLAUR,ENST00000597107,
ENSG00000011422,PLAUR,ENST00000593939,PTHR10624
ENSG00000011422,PLAUR,ENST00000602141,PTHR10624
ENSG00000011422,PLAUR,ENST00000599546,PTHR10624
ENSG00000011422,PLAUR,ENST00000601876,
ENSG00000011422,PLAUR,ENST00000595038,PTHR10624
ENSG00000011422,PLAUR,ENST00000593447,PTHR10624
ENSG00000011422,PLAUR,ENST00000593396,
ENSG00000011422,PLAUR,ENST00000221264,PTHR10624
ENSG00000011422,PLAUR,ENST00000339082,PTHR10624
ENSG00000011422,PLAUR,ENST00000594364,
ENSG00000011422,PLAUR,ENST00000593714,PTHR10624
ENSG00000011422,PLAUR,ENST00000340093,PTHR10624
ENSG00000011465,DCN,ENST00000420120,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000441303,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000425043,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000456569,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000546391,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000546370,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000546745,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000548768,
ENSG00000011465,DCN,ENST00000548218,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000547568,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000550563,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000550099,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000551354,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000550758,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000549513,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000552145,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000547937,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000393155,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000552962,PTHR24369_SF5
ENSG00000011465,DCN,ENST00000052754,PTHR24369_SF5
ENSG00000011600,TYROBP,ENST00000424586,PTHR17554
ENSG00000011600,TYROBP,ENST00000587837,
ENSG00000011600,TYROBP,ENST00000262629,PTHR17554
ENSG00000011600,TYROBP,ENST00000585626,
ENSG00000011600,TYROBP,ENST00000589517,PTHR17554
ENSG00000011600,TYROBP,ENST00000586946,
ENSG00000011600,TYROBP,ENST00000544690,PTHR17554
ENSG00000011600,TYROBP,ENST00000585901,PTHR17554
ENSG00000011600,TYROBP,ENST00000588439,
ENSG00000012124,CD22,ENST00000601414,
ENSG00000012124,CD22,ENST00000602123,
ENSG00000012124,CD22,ENST00000601732,
ENSG00000012124,CD22,ENST00000594349,
ENSG00000012124,CD22,ENST00000341773,PTHR12035
ENSG00000012124,CD22,ENST00000598138,
ENSG00000012124,CD22,ENST00000598537,
ENSG00000012124,CD22,ENST00000594250,PTHR12035
ENSG00000012124,CD22,ENST00000599811,PTHR12035
ENSG00000012124,CD22,ENST00000596492,
ENSG00000012124,CD22,ENST00000599717,
ENSG00000012124,CD22,ENST00000085219,PTHR12035
ENSG00000012124,CD22,ENST00000595780,PTHR12035
ENSG00000012124,CD22,ENST00000597916,PTHR12035
ENSG00000012124,CD22,ENST00000594125,PTHR12035
ENSG00000012124,CD22,ENST00000594954,
ENSG00000012124,CD22,ENST00000419549,PTHR12035
ENSG00000012124,CD22,ENST00000601329,
ENSG00000012124,CD22,ENST00000598028,
ENSG00000012124,CD22,ENST00000598815,
ENSG00000012124,CD22,ENST00000595419,
ENSG00000012124,CD22,ENST00000593867,PTHR12035
ENSG00000012124,CD22,ENST00000600131,PTHR12035
ENSG00000012124,CD22,ENST00000600655,
ENSG00000012124,CD22,ENST00000593704,
ENSG00000012124,CD22,ENST00000601769,PTHR12035
ENSG00000012124,CD22,ENST00000544992,PTHR12035
ENSG00000012124,CD22,ENST00000600905,
ENSG00000012124,CD22,ENST00000600424,PTHR12035
ENSG00000012124,CD22,ENST00000536635,PTHR12035
ENSG00000012124,CD22,ENST00000613136,
ENSG00000012124,CD22,ENST00000597433,
ENSG00000012124,CD22,ENST00000599799,
ENSG00000012124,CD22,ENST00000602224,
ENSG00000012504,NR1H4,ENST00000551379,PTHR24082_SF155
ENSG00000012504,NR1H4,ENST00000551184,
ENSG00000012504,NR1H4,ENST00000392986,PTHR24082_SF155
ENSG00000012504,NR1H4,ENST00000649582,
ENSG00000012504,NR1H4,ENST00000548621,
ENSG00000012504,NR1H4,ENST00000188403,PTHR24082_SF155
ENSG00000012504,NR1H4,ENST00000549996,PTHR24082_SF155
ENSG00000012504,NR1H4,ENST00000548884,PTHR24082_SF155
ENSG00000012504,NR1H4,ENST00000321046,PTHR24082_SF155
ENSG00000012504,NR1H4,ENST00000546380,
ENSG00000012504,NR1H4,ENST00000648861,PTHR24082_SF155
ENSG00000015475,BID,ENST00000473439,
ENSG00000015475,BID,ENST00000614949,
ENSG00000015475,BID,ENST00000615414,
ENSG00000015475,BID,ENST00000617586,
ENSG00000015475,BID,ENST00000551952,TF603966
ENSG00000015475,BID,ENST00000611040,
ENSG00000015475,BID,ENST00000494097,
ENSG00000015475,BID,ENST00000317361,TF603966
ENSG00000015475,BID,ENST00000550946,
ENSG00000015475,BID,ENST00000622694,TF603966
ENSG00000015475,BID,ENST00000552886,
ENSG00000015475,BID,ENST00000399774,TF603966
ENSG00000015475,BID,ENST00000399767,
ENSG00000015475,BID,ENST00000399765,
ENSG00000015475,BID,ENST00000342111,
ENSG00000017427,IGF1,ENST00000337514,PTHR11454_SF4
ENSG00000017427,IGF1,ENST00000392904,PTHR11454_SF4
ENSG00000017427,IGF1,ENST00000392905,PTHR11454_SF4
ENSG00000017427,IGF1,ENST00000424202,PTHR11454_SF4
ENSG00000017427,IGF1,ENST00000481539,
ENSG00000017427,IGF1,ENST00000307046,PTHR11454_SF4
ENSG00000017427,IGF1,ENST00000644491,PTHR11454_SF4
ENSG00000020633,RUNX3,ENST00000399916,PTHR11950_SF26
ENSG00000020633,RUNX3,ENST00000308873,PTHR11950_SF26
ENSG00000020633,RUNX3,ENST00000479341,
ENSG00000020633,RUNX3,ENST00000496967,
ENSG00000020633,RUNX3,ENST00000338888,PTHR11950_SF26
ENSG00000021852,C8B,ENST00000543257,PTHR19325_SF313
ENSG00000021852,C8B,ENST00000371237,PTHR19325_SF313
ENSG00000021852,C8B,ENST00000465658,
ENSG00000021852,C8B,ENST00000535057,PTHR19325_SF313
ENSG00000021852,C8B,ENST00000468990,
ENSG00000021852,C8B,ENST00000494324,
ENSG00000022556,NLRP2,ENST00000448584,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000588107,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000381637,
ENSG00000022556,NLRP2,ENST00000433772,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000427260,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000391721,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000540005,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000585500,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000540597,
ENSG00000022556,NLRP2,ENST00000263437,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000339757,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000397169,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000586512,
ENSG00000022556,NLRP2,ENST00000543277,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000539848,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000543010,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000588619,PTHR24106_SF14
ENSG00000022556,NLRP2,ENST00000542755,
ENSG00000022556,NLRP2,ENST00000537859,PTHR24106_SF14
ENSG00000023445,BIRC3,ENST00000526421,
ENSG00000023445,BIRC3,ENST00000263464,PTHR10044_SF79
ENSG00000023445,BIRC3,ENST00000527336,
ENSG00000023445,BIRC3,ENST00000528940,
ENSG00000023445,BIRC3,ENST00000527309,PTHR10044_SF79
ENSG00000023445,BIRC3,ENST00000615299,PTHR10044_SF79
ENSG00000023445,BIRC3,ENST00000532808,PTHR10044_SF79
ENSG00000026751,SLAMF7,ENST00000488819,
ENSG00000026751,SLAMF7,ENST00000444090,PTHR12080
ENSG00000026751,SLAMF7,ENST00000368043,PTHR12080
ENSG00000026751,SLAMF7,ENST00000458602,PTHR12080
ENSG00000026751,SLAMF7,ENST00000458104,PTHR12080
ENSG00000026751,SLAMF7,ENST00000368042,PTHR12080
ENSG00000026751,SLAMF7,ENST00000495334,PTHR12080
ENSG00000026751,SLAMF7,ENST00000484221,
ENSG00000026751,SLAMF7,ENST00000621377,PTHR12080
ENSG00000026751,SLAMF7,ENST00000359331,PTHR12080
ENSG00000026751,SLAMF7,ENST00000441662,PTHR12080
ENSG00000026950,BTN3A1,ENST00000476549,PTHR24100_SF56
ENSG00000026950,BTN3A1,ENST00000450085,PTHR24100_SF45
ENSG00000026950,BTN3A1,ENST00000465690,
ENSG00000026950,BTN3A1,ENST00000502361,
ENSG00000026950,BTN3A1,ENST00000506698,PTHR24100_SF45
ENSG00000026950,BTN3A1,ENST00000513047,
ENSG00000026950,BTN3A1,ENST00000427334,PTHR24100_SF56
ENSG00000026950,BTN3A1,ENST00000414912,PTHR24100_SF56
ENSG00000026950,BTN3A1,ENST00000082468,
ENSG00000026950,BTN3A1,ENST00000289361,PTHR24100_SF56
ENSG00000026950,BTN3A1,ENST00000425234,PTHR24100_SF56
ENSG00000027697,IFNGR1,ENST00000478333,
ENSG00000027697,IFNGR1,ENST00000645045,
ENSG00000027697,IFNGR1,ENST00000458076,PTHR20859_SF5
ENSG00000027697,IFNGR1,ENST00000642390,PTHR20859_SF5
ENSG00000027697,IFNGR1,ENST00000644894,PTHR20859_SF5
ENSG00000027697,IFNGR1,ENST00000646898,PTHR20859_SF5
ENSG00000027697,IFNGR1,ENST00000647124,PTHR20859_SF5
ENSG00000027697,IFNGR1,ENST00000645753,PTHR20859_SF5
ENSG00000027697,IFNGR1,ENST00000414770,PTHR20859_SF5
ENSG00000027697,IFNGR1,ENST00000643119,
ENSG00000027697,IFNGR1,ENST00000367739,PTHR20859_SF5
ENSG00000027697,IFNGR1,ENST00000646036,PTHR20859_SF5
ENSG00000028137,TNFRSF1B,ENST00000492361,
ENSG00000028137,TNFRSF1B,ENST00000376259,PTHR23097_SF108
ENSG00000028137,TNFRSF1B,ENST00000536782,PTHR23097_SF108
ENSG00000028137,TNFRSF1B,ENST00000489921,
ENSG00000029993,HMGB3,ENST00000419110,PTHR13711_SF144
ENSG00000029993,HMGB3,ENST00000448905,PTHR13711_SF144
ENSG00000029993,HMGB3,ENST00000325307,PTHR13711_SF144
ENSG00000029993,HMGB3,ENST00000455596,PTHR13711_SF144
ENSG00000029993,HMGB3,ENST00000430118,PTHR13711_SF144
ENSG00000033327,GAB2,ENST00000340149,PTHR12156_SF4
ENSG00000033327,GAB2,ENST00000528886,PTHR12156_SF4
ENSG00000033327,GAB2,ENST00000530915,PTHR12156_SF4
ENSG00000033327,GAB2,ENST00000528329,
ENSG00000033327,GAB2,ENST00000534823,
ENSG00000033327,GAB2,ENST00000526030,
ENSG00000033327,GAB2,ENST00000361507,PTHR12156_SF4
ENSG00000033800,PIAS1,ENST00000249636,PTHR10782
ENSG00000033800,PIAS1,ENST00000564009,
ENSG00000033800,PIAS1,ENST00000564915,PTHR10782
ENSG00000033800,PIAS1,ENST00000545237,PTHR10782
ENSG00000033800,PIAS1,ENST00000562190,
ENSG00000033800,PIAS1,ENST00000611270,
ENSG00000033800,PIAS1,ENST00000563996,
ENSG00000033800,PIAS1,ENST00000567417,
ENSG00000034152,MAP2K3,ENST00000627447,
ENSG00000034152,MAP2K3,ENST00000342679,PTHR24361_SF191
ENSG00000034152,MAP2K3,ENST00000316920,PTHR24361_SF191
ENSG00000034152,MAP2K3,ENST00000361818,PTHR24361_SF191
ENSG00000034152,MAP2K3,ENST00000479129,
ENSG00000034152,MAP2K3,ENST00000583508,
ENSG00000034152,MAP2K3,ENST00000395491,
ENSG00000034152,MAP2K3,ENST00000613338,PTHR24361_SF191
ENSG00000034152,MAP2K3,ENST00000527123,PTHR24361_SF191
ENSG00000034152,MAP2K3,ENST00000526076,PTHR24361_SF191
ENSG00000034152,MAP2K3,ENST00000529517,
ENSG00000034152,MAP2K3,ENST00000496046,PTHR24361_SF191
ENSG00000034152,MAP2K3,ENST00000534743,
ENSG00000034152,MAP2K3,ENST00000477540,
ENSG00000034152,MAP2K3,ENST00000483928,
ENSG00000037280,FLT4,ENST00000502603,
ENSG00000037280,FLT4,ENST00000502649,PTHR24416_SF49
ENSG00000037280,FLT4,ENST00000261937,PTHR24416_SF49
ENSG00000037280,FLT4,ENST00000393347,PTHR24416_SF49
ENSG00000037280,FLT4,ENST00000512795,PTHR24416_SF49
ENSG00000037280,FLT4,ENST00000424276,
ENSG00000037280,FLT4,ENST00000513527,
ENSG00000037280,FLT4,ENST00000619105,
ENSG00000037280,FLT4,ENST00000507059,
ENSG00000037280,FLT4,ENST00000502293,
ENSG00000037280,FLT4,ENST00000514810,
ENSG00000037280,FLT4,ENST00000510000,
ENSG00000038945,MSR1,ENST00000520846,
ENSG00000038945,MSR1,ENST00000262101,PTHR24021
ENSG00000038945,MSR1,ENST00000519060,
ENSG00000038945,MSR1,ENST00000518960,
ENSG00000038945,MSR1,ENST00000445506,PTHR24021
ENSG00000038945,MSR1,ENST00000350896,PTHR24021
ENSG00000038945,MSR1,ENST00000518026,
ENSG00000038945,MSR1,ENST00000355282,PTHR24021
ENSG00000038945,MSR1,ENST00000521876,
ENSG00000038945,MSR1,ENST00000518343,
ENSG00000038945,MSR1,ENST00000381998,PTHR24021
ENSG00000038945,MSR1,ENST00000522672,PTHR24021
ENSG00000038945,MSR1,ENST00000522130,
ENSG00000038945,MSR1,ENST00000517522,
ENSG00000039537,C6,ENST00000511470,
ENSG00000039537,C6,ENST00000461473,
ENSG00000039537,C6,ENST00000337836,PTHR19325_SF23
ENSG00000039537,C6,ENST00000263413,PTHR19325_SF23
ENSG00000039537,C6,ENST00000417809,PTHR19325_SF23
ENSG00000039537,C6,ENST00000473450,
ENSG00000039537,C6,ENST00000475349,
ENSG00000039537,C6,ENST00000433294,
ENSG00000043462,LCP2,ENST00000628092,PTHR14098_SF1
ENSG00000043462,LCP2,ENST00000520322,
ENSG00000043462,LCP2,ENST00000522823,
ENSG00000043462,LCP2,ENST00000046794,PTHR14098_SF1
ENSG00000043462,LCP2,ENST00000522760,
ENSG00000043462,LCP2,ENST00000523369,
ENSG00000043462,LCP2,ENST00000521416,PTHR14098_SF1
ENSG00000043462,LCP2,ENST00000519594,
ENSG00000043462,LCP2,ENST00000520344,PTHR14098_SF1
ENSG00000043462,LCP2,ENST00000519149,
ENSG00000049130,KITLG,ENST00000378535,
ENSG00000049130,KITLG,ENST00000347404,PTHR11574
ENSG00000049130,KITLG,ENST00000357116,
ENSG00000049130,KITLG,ENST00000646633,
ENSG00000049130,KITLG,ENST00000552044,
ENSG00000049130,KITLG,ENST00000644744,PTHR11574
ENSG00000049249,TNFRSF9,ENST00000377507,PTHR23097_SF97
ENSG00000049249,TNFRSF9,ENST00000474475,
ENSG00000049249,TNFRSF9,ENST00000492571,PTHR23097_SF97
ENSG00000049249,TNFRSF9,ENST00000615230,PTHR23097_SF97
ENSG00000050730,TNIP3,ENST00000511909,
ENSG00000050730,TNIP3,ENST00000506753,
ENSG00000050730,TNIP3,ENST00000515605,
ENSG00000050730,TNIP3,ENST00000509841,PTHR31882
ENSG00000050730,TNIP3,ENST00000057513,PTHR31882
ENSG00000050730,TNIP3,ENST00000507879,PTHR31882
ENSG00000050730,TNIP3,ENST00000515036,
ENSG00000050748,MAPK9,ENST00000539014,PTHR24055_SF167
ENSG00000050748,MAPK9,ENST00000452135,PTHR24055_SF167
ENSG00000050748,MAPK9,ENST00000455781,PTHR24055_SF167
ENSG00000050748,MAPK9,ENST00000524170,
ENSG00000050748,MAPK9,ENST00000523135,
ENSG00000050748,MAPK9,ENST00000425491,PTHR24055_SF167
ENSG00000050748,MAPK9,ENST00000523583,PTHR24055_SF167
ENSG00000050748,MAPK9,ENST00000393360,PTHR24055_SF167
ENSG00000050748,MAPK9,ENST00000393362,PTHR24055_SF167
ENSG00000050748,MAPK9,ENST00000343111,PTHR24055_SF167
ENSG00000050748,MAPK9,ENST00000520212,
ENSG00000050748,MAPK9,ENST00000347470,PTHR24055_SF167
ENSG00000050748,MAPK9,ENST00000397072,PTHR24055_SF167
ENSG00000050820,BCAR1,ENST00000393420,PTHR10654
ENSG00000050820,BCAR1,ENST00000566982,
ENSG00000050820,BCAR1,ENST00000563323,PTHR10654
ENSG00000050820,BCAR1,ENST00000569006,PTHR10654
ENSG00000050820,BCAR1,ENST00000564028,PTHR10654
