query,hit identifier,gene,transcript,ensembl,length,bits,identities,percent_identity,e value,ensemblfamily,subfamily
TTRE_0000103301-mRNA-1 transcript=TTRE_0000103301-mRNA-1 gene=TTRE_0000103301,gnl|BL_ORD_ID|65564 ENSG00000096433|ITPR3|ENST00000605930|PTHR13715_SF51,ITPR3,ENST00000605930,ENSG00000096433,2672,1582.39,1068,39.97005988,0,PTHR13715,SF51
TTRE_0000110301-mRNA-1 transcript=TTRE_0000110301-mRNA-1 gene=TTRE_0000110301,gnl|BL_ORD_ID|122431 ENSG00000087470|DNM1L|ENST00000547312|PTHR11566_SF39,DNM1L,ENST00000547312,ENSG00000087470,726,748.814,387,53.30578512,0,PTHR11566,SF39
TTRE_0000189501-mRNA-1 transcript=TTRE_0000189501-mRNA-1 gene=TTRE_0000189501,gnl|BL_ORD_ID|8757 ENSG00000135829|DHX9|ENST00000367549|PTHR18934_SF84,DHX9,ENST00000367549,ENSG00000135829,1271,876.315,492,38.70967742,0,PTHR18934,SF84
TTRE_0000192701-mRNA-1 transcript=TTRE_0000192701-mRNA-1 gene=TTRE_0000192701,gnl|BL_ORD_ID|143423 ENSG00000166949|SMAD3|ENST00000327367|PTHR13703_SF25,SMAD3,ENST00000327367,ENSG00000166949,426,518.464,273,64.08450704,0,PTHR13703,SF25
TTRE_0000205401-mRNA-1 transcript=TTRE_0000205401-mRNA-1 gene=TTRE_0000205401,gnl|BL_ORD_ID|15254 ENSG00000061676|NCKAP1|ENST00000361354|PTHR12093,NCKAP1,ENST00000361354,ENSG00000061676,1129,1216.45,592,52.43578388,0,PTHR12093,
TTRE_0000209901-mRNA-1 transcript=TTRE_0000209901-mRNA-1 gene=TTRE_0000209901,gnl|BL_ORD_ID|97585 ENSG00000148606|POLR3A|ENST00000372371|PTHR19376_SF31,POLR3A,ENST00000372371,ENSG00000148606,1391,1361.67,701,50.39539899,0,PTHR19376,SF31
TTRE_0000235501-mRNA-1 transcript=TTRE_0000235501-mRNA-1 gene=TTRE_0000235501,gnl|BL_ORD_ID|15573 ENSG00000079785|DDX1|ENST00000381341|PTHR24031_SF211,DDX1,ENST00000381341,ENSG00000079785,741,853.203,447,60.32388664,0,PTHR24031,SF211
TTRE_0000238901-mRNA-1 transcript=TTRE_0000238901-mRNA-1 gene=TTRE_0000238901,gnl|BL_ORD_ID|1153 ENSG00000126070|AGO3|ENST00000373191|PTHR22891_SF3,AGO3,ENST00000373191,ENSG00000126070,861,1219.91,597,69.33797909,0,PTHR22891,SF3
TTRE_0000257701-mRNA-1 transcript=TTRE_0000257701-mRNA-1 gene=TTRE_0000257701,gnl|BL_ORD_ID|134683 ENSG00000080824|HSP90AA1|ENST00000216281|PTHR11528,HSP90AA1,ENST00000216281,ENSG00000080824,733,1027.31,547,74.62482947,0,PTHR11528,
TTRE_0000279901-mRNA-1 transcript=TTRE_0000279901-mRNA-1 gene=TTRE_0000279901,gnl|BL_ORD_ID|118565 ENSG00000186298|PPP1CC|ENST00000335007|PTHR11668_SF207,PPP1CC,ENST00000335007,ENSG00000186298,324,583.178,280,86.41975309,0,PTHR11668,SF207
TTRE_0000289601-mRNA-1 transcript=TTRE_0000289601-mRNA-1 gene=TTRE_0000289601,gnl|BL_ORD_ID|203345 ENSG00000100030|MAPK1|ENST00000398822|PTHR24055_SF161,MAPK1,ENST00000398822,ENSG00000100030,361,613.224,286,79.22437673,0,PTHR24055,SF161
TTRE_0000309201-mRNA-1 transcript=TTRE_0000309201-mRNA-1 gene=TTRE_0000309201,gnl|BL_ORD_ID|39613 ENSG00000138814|PPP3CA|ENST00000394853|PTHR11668_SF192,PPP3CA,ENST00000394853,ENSG00000138814,512,774.622,369,72.0703125,0,PTHR11668,SF192
TTRE_0000322201-mRNA-1 transcript=TTRE_0000322201-mRNA-1 gene=TTRE_0000322201,gnl|BL_ORD_ID|79871 ENSG00000123908|AGO2|ENST00000220592|PTHR22891_SF18,AGO2,ENST00000220592,ENSG00000123908,860,1269.6,598,69.53488372,0,PTHR22891,SF18
TTRE_0000325901-mRNA-1 transcript=TTRE_0000325901-mRNA-1 gene=TTRE_0000325901,gnl|BL_ORD_ID|59595 ENSG00000197442|MAP3K5|ENST00000359015|PTHR11584_SF332,MAP3K5,ENST00000359015,ENSG00000197442,1375,743.806,479,34.83636364,0,PTHR11584,SF332
TTRE_0000332401-mRNA-1 transcript=TTRE_0000332401-mRNA-1 gene=TTRE_0000332401,gnl|BL_ORD_ID|22291 ENSG00000115091|ACTR3|ENST00000535589|PTHR11937_SF175,ACTR3,ENST00000535589,ENSG00000115091,368,538.88,263,71.4673913,0,PTHR11937,SF175
TTRE_0000338101-mRNA-1 transcript=TTRE_0000338101-mRNA-1 gene=TTRE_0000338101,gnl|BL_ORD_ID|99212 ENSG00000150093|ITGB1|ENST00000396033|PTHR10082,ITGB1,ENST00000396033,ENSG00000150093,799,655.21,353,44.18022528,0,PTHR10082,
TTRE_0000340801-mRNA-1 transcript=TTRE_0000340801-mRNA-1 gene=TTRE_0000340801,gnl|BL_ORD_ID|37046 ENSG00000168036|CTNNB1|ENST00000645276|PTHR23315_SF53,CTNNB1,ENST00000645276,ENSG00000168036,784,678.707,380,48.46938776,0,PTHR23315,SF53
TTRE_0000353801-mRNA-1 transcript=TTRE_0000353801-mRNA-1 gene=TTRE_0000353801,gnl|BL_ORD_ID|42506 ENSG00000109339|MAPK10|ENST00000641166|PTHR24055_SF162,MAPK10,ENST00000641166,ENSG00000109339,427,601.282,274,64.16861827,0,PTHR24055,SF162
TTRE_0000362001-mRNA-1 transcript=TTRE_0000362001-mRNA-1 gene=TTRE_0000362001,gnl|BL_ORD_ID|19610 ENSG00000138071|ACTR2|ENST00000542850|PTHR11937_SF149,ACTR2,ENST00000542850,ENSG00000138071,340,528.48,242,71.17647059,0,PTHR11937,SF149
TTRE_0000369701-mRNA-1 transcript=TTRE_0000369701-mRNA-1 gene=TTRE_0000369701,gnl|BL_ORD_ID|165372 ENSG00000141367|CLTC|ENST00000393043|PTHR10292,CLTC,ENST00000393043,ENSG00000141367,1640,2550.39,1208,73.65853659,0,PTHR10292,
TTRE_0000390901-mRNA-1 transcript=TTRE_0000390901-mRNA-1 gene=TTRE_0000390901,gnl|BL_ORD_ID|69731 ENSG00000221866|PLXNA4|ENST00000359827|PTHR22625,PLXNA4,ENST00000359827,ENSG00000221866,1895,942.569,645,34.03693931,0,PTHR22625,
TTRE_0000393501-mRNA-1 transcript=TTRE_0000393501-mRNA-1 gene=TTRE_0000393501,gnl|BL_ORD_ID|194879 ENSG00000197122|SRC|ENST00000373567|PTHR24418_SF53,SRC,ENST00000373567,ENSG00000197122,537,525.013,259,48.23091248,0,PTHR24418,SF53
TTRE_0000405801-mRNA-1 transcript=TTRE_0000405801-mRNA-1 gene=TTRE_0000405801,gnl|BL_ORD_ID|24582 ENSG00000121879|PIK3CA|ENST00000263967|PTHR10048_SF54,PIK3CA,ENST00000263967,ENSG00000121879,1069,841.262,449,42.00187091,0,PTHR10048,SF54
TTRE_0000414101-mRNA-1 transcript=TTRE_0000414101-mRNA-1 gene=TTRE_0000414101,gnl|BL_ORD_ID|59341 ENSG00000112249|ASCC3|ENST00000369162|PTHR11752_SF8,ASCC3,ENST00000369162,ENSG00000112249,2203,1824.29,923,41.89741262,0,PTHR11752,SF8
TTRE_0000434001-mRNA-1 transcript=TTRE_0000434001-mRNA-1 gene=TTRE_0000434001,gnl|BL_ORD_ID|107451 ENSG00000205339|IPO7|ENST00000379719|PTHR10997_SF27,IPO7,ENST00000379719,ENSG00000205339,1039,720.694,404,38.88354187,0,PTHR10997,SF27
TTRE_0000437101-mRNA-1 transcript=TTRE_0000437101-mRNA-1 gene=TTRE_0000437101,gnl|BL_ORD_ID|32783 ENSG00000082701|GSK3B|ENST00000650344|PTHR24057,GSK3B,ENST00000650344,ENSG00000082701,471,584.719,274,58.17409766,0,PTHR24057,
TTRE_0000464201-mRNA-1 transcript=TTRE_0000464201-mRNA-1 gene=TTRE_0000464201,gnl|BL_ORD_ID|121871 ENSG00000150991|UBC|ENST00000536769|PTHR10666_SF94,UBC,ENST00000536769,ENSG00000150991,686,1119.38,571,83.2361516,0,PTHR10666,SF94
TTRE_0000467701-mRNA-1 transcript=TTRE_0000467701-mRNA-1 gene=TTRE_0000467701,gnl|BL_ORD_ID|62044 ENSG00000112640|PPP2R5D|ENST00000394110|PTHR10257,PPP2R5D,ENST00000394110,ENSG00000112640,571,677.167,327,57.26795096,0,PTHR10257,
TTRE_0000483001-mRNA-1 transcript=TTRE_0000483001-mRNA-1 gene=TTRE_0000483001,gnl|BL_ORD_ID|16755 ENSG00000115904|SOS1|ENST00000426016|PTHR23113_SF168,SOS1,ENST00000426016,ENSG00000115904,1334,790.03,509,38.15592204,0,PTHR23113,SF168
TTRE_0000515601-mRNA-1 transcript=TTRE_0000515601-mRNA-1 gene=TTRE_0000515601,gnl|BL_ORD_ID|11494 ENSG00000136631|VPS45|ENST00000644510|PTHR11679_SF3,VPS45,ENST00000644510,ENSG00000136631,571,616.69,305,53.4150613,0,PTHR11679,SF3
TTRE_0000521801-mRNA-1 transcript=TTRE_0000521801-mRNA-1 gene=TTRE_0000521801,gnl|BL_ORD_ID|175032 ENSG00000184009|ACTG1|ENST00000615544|PTHR11937_SF187,ACTG1,ENST00000615544,ENSG00000184009,376,775.778,366,97.34042553,0,PTHR11937,SF187
TTRE_0000536801-mRNA-1 transcript=TTRE_0000536801-mRNA-1 gene=TTRE_0000536801,gnl|BL_ORD_ID|162328 ENSG00000005100|DHX33|ENST00000225296|PTHR18934_SF96,DHX33,ENST00000225296,ENSG00000005100,708,555.444,285,40.25423729,0,PTHR18934,SF96
TTRE_0000589901-mRNA-1 transcript=TTRE_0000589901-mRNA-1 gene=TTRE_0000589901,gnl|BL_ORD_ID|159801 ENSG00000187555|USP7|ENST00000563085|PTHR24006_SF89,USP7,ENST00000563085,ENSG00000187555,909,671.003,343,37.73377338,0,PTHR24006,SF89
TTRE_0000594401-mRNA-1 transcript=TTRE_0000594401-mRNA-1 gene=TTRE_0000594401,gnl|BL_ORD_ID|173278 ENSG00000108883|EFTUD2|ENST00000591382|PTHR23115_SF5,EFTUD2,ENST00000591382,ENSG00000108883,973,1397.1,689,70.81192189,0,PTHR23115,SF5
TTRE_0000608501-mRNA-1 transcript=TTRE_0000608501-mRNA-1 gene=TTRE_0000608501,gnl|BL_ORD_ID|154600 ENSG00000005339|CREBBP|ENST00000570939|PTHR13808_SF5,CREBBP,ENST00000570939,ENSG00000005339,1105,677.167,304,27.51131222,0,PTHR13808,SF5
TTRE_0000621401-mRNA-1 transcript=TTRE_0000621401-mRNA-1 gene=TTRE_0000621401,gnl|BL_ORD_ID|180364 ENSG00000123143|PKN1|ENST00000242783|PTHR24357_SF69,PKN1,ENST00000242783,ENSG00000123143,943,674.855,417,44.22057264,0,PTHR24357,SF69
TTRE_0000642601-mRNA-1 transcript=TTRE_0000642601-mRNA-1 gene=TTRE_0000642601,gnl|BL_ORD_ID|2030 ENSG00000198793|MTOR|ENST00000376838|PTHR11139_SF63,MTOR,ENST00000376838,ENSG00000198793,755,882.093,424,56.1589404,0,PTHR11139,SF63
TTRE_0000652401-mRNA-1 transcript=TTRE_0000652401-mRNA-1 gene=TTRE_0000652401,gnl|BL_ORD_ID|96797 ENSG00000150760|DOCK1|ENST00000280333|PTHR23317_SF79,DOCK1,ENST00000280333,ENSG00000150760,1866,903.279,533,28.56377278,0,PTHR23317,SF79
TTRE_0000681101-mRNA-1 transcript=TTRE_0000681101-mRNA-1 gene=TTRE_0000681101,gnl|BL_ORD_ID|114009 ENSG00000110395|CBL|ENST00000634840|PTHR23007_SF5,CBL,ENST00000634840,ENSG00000110395,863,605.52,282,32.67670915,0,PTHR23007,SF5
TTRE_0000684101-mRNA-1 transcript=TTRE_0000684101-mRNA-1 gene=TTRE_0000684101,gnl|BL_ORD_ID|121934 ENSG00000013503|POLR3B|ENST00000539066|PTHR20856,POLR3B,ENST00000539066,ENSG00000013503,1076,1207.2,589,54.73977695,0,PTHR20856,
TTRE_0000715701-mRNA-1 transcript=TTRE_0000715701-mRNA-1 gene=TTRE_0000715701,gnl|BL_ORD_ID|117919 ENSG00000013503|POLR3B|ENST00000228347|PTHR20856,POLR3B,ENST00000228347,ENSG00000013503,1134,570.466,278,24.51499118,0,PTHR20856,
TTRE_0000729701-mRNA-1 transcript=TTRE_0000729701-mRNA-1 gene=TTRE_0000729701,gnl|BL_ORD_ID|53799 ENSG00000055163|CYFIP2|ENST00000620254|PTHR12195,CYFIP2,ENST00000620254,ENSG00000055163,1254,1415.59,698,55.66188198,0,PTHR12195,
TTRE_0000815501-mRNA-1 transcript=TTRE_0000815501-mRNA-1 gene=TTRE_0000815501,gnl|BL_ORD_ID|175766 ENSG00000078142|PIK3C3|ENST00000262039|PTHR10048_SF7,PIK3C3,ENST00000262039,ENSG00000078142,888,845.114,449,50.56306306,0,PTHR10048,SF7
TTRE_0000871301-mRNA-1 transcript=TTRE_0000871301-mRNA-1 gene=TTRE_0000871301,gnl|BL_ORD_ID|195050 ENSG00000124181|PLCG1|ENST00000373271|PTHR10336_SF52,PLCG1,ENST00000373271,ENSG00000124181,1291,579.711,387,29.9767622,0,PTHR10336,SF52
TTRE_0000251701-mRNA-1 transcript=TTRE_0000251701-mRNA-1 gene=TTRE_0000251701,gnl|BL_ORD_ID|91914 ENSG00000147852|VLDLR|ENST00000382099|PTHR10529_SF101,VLDLR,ENST00000382099,ENSG00000147852,846,538.88,308,36.40661939,1.41E-177,PTHR10529,SF101
1264seq,gnl|BL_ORD_ID|114009 ENSG00000110395|CBL|ENST00000634840|PTHR23007_SF5,CBL,ENST00000634840,ENSG00000110395,863,513.457,237,27.46234067,1.06E-171,PTHR23007,SF5
TTRE_0000909501-mRNA-1 transcript=TTRE_0000909501-mRNA-1 gene=TTRE_0000909501,gnl|BL_ORD_ID|1153 ENSG00000126070|AGO3|ENST00000373191|PTHR22891_SF3,AGO3,ENST00000373191,ENSG00000126070,861,517.309,328,38.0952381,3.00E-170,PTHR22891,SF3
TTRE_0000736401-mRNA-1 transcript=TTRE_0000736401-mRNA-1 gene=TTRE_0000736401,gnl|BL_ORD_ID|134875 ENSG00000100505|TRIM9|ENST00000298355|PTHR24103_SF289,TRIM9,ENST00000298355,ENSG00000100505,711,505.753,289,40.64697609,4.87E-170,PTHR24103,SF289
TTRE_0000713501-mRNA-1 transcript=TTRE_0000713501-mRNA-1 gene=TTRE_0000713501,gnl|BL_ORD_ID|185492 ENSG00000126457|PRMT1|ENST00000532489|PTHR11006_SF54,PRMT1,ENST00000532489,ENSG00000126457,326,478.019,227,69.63190184,6.91E-170,PTHR11006,SF54
TTRE_0000891801-mRNA-1 transcript=TTRE_0000891801-mRNA-1 gene=TTRE_0000891801,gnl|BL_ORD_ID|157419 ENSG00000149923|PPP4C|ENST00000562664|PTHR11668_SF22,PPP4C,ENST00000562664,ENSG00000149923,267,471.47,225,84.26966292,2.41E-169,PTHR11668,SF22
TTRE_0000312601-mRNA-1 transcript=TTRE_0000312601-mRNA-1 gene=TTRE_0000312601,gnl|BL_ORD_ID|59765 ENSG00000010810|FYN|ENST00000368667|PTHR24418_SF44,FYN,ENST00000368667,ENSG00000010810,538,532.332,279,51.85873606,4.65E-168,PTHR24418,SF44
TTRE_0000466201-mRNA-1 transcript=TTRE_0000466201-mRNA-1 gene=TTRE_0000466201,gnl|BL_ORD_ID|58767 ENSG00000112062|MAPK14|ENST00000229794|PTHR24055_SF110,MAPK14,ENST00000229794,ENSG00000112062,361,472.241,222,61.49584488,3.34E-167,PTHR24055,SF110
TTRE_0000487601-mRNA-1 transcript=TTRE_0000487601-mRNA-1 gene=TTRE_0000487601,gnl|BL_ORD_ID|92516 ENSG00000185920|PTCH1|ENST00000421141|PTHR10796_SF61,PTCH1,ENST00000421141,ENSG00000185920,1297,536.954,333,25.67463377,5.05E-167,PTHR10796,SF61
TTRE_0000015001-mRNA-1 transcript=TTRE_0000015001-mRNA-1 gene=TTRE_0000015001,gnl|BL_ORD_ID|118381 ENSG00000139625|MAP3K12|ENST00000267079|PTHR23257_SF397,MAP3K12,ENST00000267079,ENSG00000139625,860,488.804,236,27.44186047,7.74E-165,PTHR23257,SF397
TTRE_0000489601-mRNA-1 transcript=TTRE_0000489601-mRNA-1 gene=TTRE_0000489601,gnl|BL_ORD_ID|211730 ENSG00000215301|DDX3X|ENST00000626301|PTHR24031_SF195,DDX3X,ENST00000626301,ENSG00000215301,641,483.411,267,41.65366615,1.01E-164,PTHR24031,SF195
TTRE_0000512101-mRNA-1 transcript=TTRE_0000512101-mRNA-1 gene=TTRE_0000512101,gnl|BL_ORD_ID|180787 ENSG00000126934|MAP2K2|ENST00000262948|PTHR24360_SF15,MAP2K2,ENST00000262948,ENSG00000126934,401,469.159,235,58.60349127,1.99E-164,PTHR24360,SF15
TTRE_0000083001-mRNA-1 transcript=TTRE_0000083001-mRNA-1 gene=TTRE_0000083001,gnl|BL_ORD_ID|91130 ENSG00000160293|VAV2|ENST00000406606|PTHR22826_SF95,VAV2,ENST00000406606,ENSG00000160293,840,501.13,316,37.61904762,3.55E-164,PTHR22826,SF95
TTRE_0000843901-mRNA-1 transcript=TTRE_0000843901-mRNA-1 gene=TTRE_0000843901,gnl|BL_ORD_ID|175119 ENSG00000129667|RHBDF2|ENST00000591885|PTHR22936_SF10,RHBDF2,ENST00000591885,ENSG00000129667,828,512.301,253,30.55555556,1.91E-163,PTHR22936,SF10
TTRE_0000549301-mRNA-1 transcript=TTRE_0000549301-mRNA-1 gene=TTRE_0000549301,gnl|BL_ORD_ID|152659 ENSG00000140992|PDPK1|ENST00000389224|PTHR24352_SF0,PDPK1,ENST00000389224,ENSG00000140992,530,478.404,249,46.98113208,8.79E-163,PTHR24352,SF0
TTRE_0000749001-mRNA-1 transcript=TTRE_0000749001-mRNA-1 gene=TTRE_0000749001,gnl|BL_ORD_ID|37890 ENSG00000163932|PRKCD|ENST00000654719|PTHR24352_SF32,PRKCD,ENST00000654719,ENSG00000163932,677,474.167,239,35.3028065,2.56E-161,PTHR24352,SF32
TTRE_0000015601-mRNA-1 transcript=TTRE_0000015601-mRNA-1 gene=TTRE_0000015601,gnl|BL_ORD_ID|9988 ENSG00000143376|SNX27|ENST00000368843|PTHR12431,SNX27,ENST00000368843,ENSG00000143376,529,470.315,237,44.80151229,1.41E-160,PTHR12431,
TTRE_0000446701-mRNA-1 transcript=TTRE_0000446701-mRNA-1 gene=TTRE_0000446701,gnl|BL_ORD_ID|151906 ENSG00000178952|TUFM|ENST00000313511|PTHR23115_SF112,TUFM,ENST00000313511,ENSG00000178952,456,462.611,230,50.43859649,1.81E-160,PTHR23115,SF112
TTRE_0000398001-mRNA-1 transcript=TTRE_0000398001-mRNA-1 gene=TTRE_0000398001,gnl|BL_ORD_ID|163336 ENSG00000065559|MAP2K4|ENST00000353533|PTHR24360_SF46,MAP2K4,ENST00000353533,ENSG00000065559,400,453.751,210,52.5,2.81E-159,PTHR24360,SF46
TTRE_0000646101-mRNA-1 transcript=TTRE_0000646101-mRNA-1 gene=TTRE_0000646101,gnl|BL_ORD_ID|182520 ENSG00000076984|MAP2K7|ENST00000397979|PTHR24360_SF3,MAP2K7,ENST00000397979,ENSG00000076984,420,450.284,227,54.04761905,9.67E-157,PTHR24360,SF3
TTRE_0000364501-mRNA-1 transcript=TTRE_0000364501-mRNA-1 gene=TTRE_0000364501,gnl|BL_ORD_ID|71856 ENSG00000087085|ACHE|ENST00000412389|PTHR11559_SF171,ACHE,ENST00000412389,ENSG00000087085,615,465.307,259,42.11382114,1.02E-156,PTHR11559,SF171
TTRE_0000447901-mRNA-1 transcript=TTRE_0000447901-mRNA-1 gene=TTRE_0000447901,gnl|BL_ORD_ID|5042 ENSG00000244038|DDOST|ENST00000602624|PTHR10830,DDOST,ENST00000602624,ENSG00000244038,440,451.055,219,49.77272727,1.79E-156,PTHR10830,
TTRE_0000820301-mRNA-1 transcript=TTRE_0000820301-mRNA-1 gene=TTRE_0000820301,gnl|BL_ORD_ID|1153 ENSG00000126070|AGO3|ENST00000373191|PTHR22891_SF3,AGO3,ENST00000373191,ENSG00000126070,861,480.715,318,36.93379791,2.61E-156,PTHR22891,SF3
TTRE_0000388801-mRNA-1 transcript=TTRE_0000388801-mRNA-1 gene=TTRE_0000388801,gnl|BL_ORD_ID|4512 ENSG00000116688|MFN2|ENST00000444836|PTHR10465,MFN2,ENST00000444836,ENSG00000116688,758,470.7,274,36.14775726,9.36E-155,PTHR10465,
TTRE_0000837101-mRNA-1 transcript=TTRE_0000837101-mRNA-1 gene=TTRE_0000837101,gnl|BL_ORD_ID|157779 ENSG00000196470|SIAH1|ENST00000568007|PTHR10315_SF23,SIAH1,ENST00000568007,ENSG00000196470,283,436.032,193,68.19787986,1.21E-154,PTHR10315,SF23
TTRE_0000403301-mRNA-1 transcript=TTRE_0000403301-mRNA-1 gene=TTRE_0000403301,gnl|BL_ORD_ID|32266 ENSG00000114738|MAPKAPK3|ENST00000621469|PTHR24349_SF64,MAPKAPK3,ENST00000621469,ENSG00000114738,383,441.81,210,54.83028721,1.52E-154,PTHR24349,SF64
TTRE_0000556801-mRNA-1 transcript=TTRE_0000556801-mRNA-1 gene=TTRE_0000556801,gnl|BL_ORD_ID|1573 ENSG00000092847|AGO1|ENST00000373204|PTHR22891_SF17,AGO1,ENST00000373204,ENSG00000092847,858,473.396,308,35.8974359,9.27E-154,PTHR22891,SF17
TTRE_0000646901-mRNA-1 transcript=TTRE_0000646901-mRNA-1 gene=TTRE_0000646901,gnl|BL_ORD_ID|90023 ENSG00000119326|CTNNAL1|ENST00000374595|PTHR18914,CTNNAL1,ENST00000374595,ENSG00000119326,719,458.373,287,39.91655076,1.07E-150,PTHR18914,
TTRE_0000487201-mRNA-1 transcript=TTRE_0000487201-mRNA-1 gene=TTRE_0000487201,gnl|BL_ORD_ID|186980 ENSG00000105298|CACTIN|ENST00000585942|PTHR21737,CACTIN,ENST00000585942,ENSG00000105298,759,454.521,264,34.7826087,2.24E-150,PTHR21737,
TTRE_0000475201-mRNA-1 transcript=TTRE_0000475201-mRNA-1 gene=TTRE_0000475201,gnl|BL_ORD_ID|89392 ENSG00000136848|DAB2IP|ENST00000309989|PTHR10194_SF26,DAB2IP,ENST00000309989,ENSG00000136848,1066,471.085,243,22.79549719,2.65E-147,PTHR10194,SF26
TTRE_0000004501-mRNA-1 transcript=TTRE_0000004501-mRNA-1 gene=TTRE_0000004501,gnl|BL_ORD_ID|66087 ENSG00000196591|HDAC2|ENST00000519108|PTHR10625_SF60,HDAC2,ENST00000519108,ENSG00000196591,459,420.239,207,45.09803922,4.75E-144,PTHR10625,SF60
TTRE_0000085501-mRNA-1 transcript=TTRE_0000085501-mRNA-1 gene=TTRE_0000085501,gnl|BL_ORD_ID|100000 ENSG00000170312|CDK1|ENST00000395284|PTHR24056_SF173,CDK1,ENST00000395284,ENSG00000170312,298,407.912,193,64.76510067,1.43E-143,PTHR24056,SF173
TTRE_0000317701-mRNA-1 transcript=TTRE_0000317701-mRNA-1 gene=TTRE_0000317701,gnl|BL_ORD_ID|14577 ENSG00000163466|ARPC2|ENST00000295685|PTHR12058,ARPC2,ENST00000295685,ENSG00000163466,301,406.371,189,62.79069767,3.21E-143,PTHR12058,
TTRE_0000845901-mRNA-1 transcript=TTRE_0000845901-mRNA-1 gene=TTRE_0000845901,gnl|BL_ORD_ID|105217 ENSG00000020922|MRE11|ENST00000323977|PTHR10139,MRE11,ENST00000323977,ENSG00000020922,681,427.943,215,31.5712188,1.52E-142,PTHR10139,
TTRE_0000179001-mRNA-1 transcript=TTRE_0000179001-mRNA-1 gene=TTRE_0000179001,gnl|BL_ORD_ID|66087 ENSG00000196591|HDAC2|ENST00000519108|PTHR10625_SF60,HDAC2,ENST00000519108,ENSG00000196591,459,406.757,191,41.61220044,1.84E-140,PTHR10625,SF60
TTRE_0000361201-mRNA-1 transcript=TTRE_0000361201-mRNA-1 gene=TTRE_0000361201,gnl|BL_ORD_ID|2974 ENSG00000142875|PRKACB|ENST00000614872|PTHR24353_SF45,PRKACB,ENST00000614872,ENSG00000142875,358,405.216,189,52.79329609,2.88E-140,PTHR24353,SF45
