query,hit identifier,gene,transcript,ensembl,length,bits,identities,percent_identity,e value,ensemblfamily,subfamily
1013seq,gnl|BL_ORD_ID|100523 ENSG00000204179|PTPN20|ENST00000513266|PTHR19134_SF271,PTPN20,ENST00000513266,ENSG00000204179,198,58.5362,25,12.62626263,9.81E-10,PTHR19134,SF271
1091seq,gnl|BL_ORD_ID|2251 ENSG00000085998|POMGNT1|ENST00000371984|PTHR10468,POMGNT1,ENST00000371984,ENSG00000085998,661,103.99,86,13.01059002,1.65E-23,PTHR10468,
1139seq,gnl|BL_ORD_ID|71909 ENSG00000127946|HIP1|ENST00000434438|PTHR10407,HIP1,ENST00000434438,ENSG00000127946,987,64.6994,99,10.03039514,1.68E-10,PTHR10407,
1159seq,gnl|BL_ORD_ID|143581 ENSG00000137845|ADAM10|ENST00000439637|PTHR11905_SF113,ADAM10,ENST00000439637,ENSG00000137845,125,46.2098,32,25.6,2.13E-06,PTHR11905,SF113
1164seq,gnl|BL_ORD_ID|104816 ENSG00000121690|DEPDC7|ENST00000311388|PTHR16206,DEPDC7,ENST00000311388,ENSG00000121690,503,68.1662,69,13.71769384,1.49E-11,PTHR16206,
1204seq,gnl|BL_ORD_ID|204995 ENSG00000242247|ARFGAP3|ENST00000453516|PTHR23180_SF208,ARFGAP3,ENST00000453516,ENSG00000242247,273,53.5286,49,17.94871795,2.08E-08,PTHR23180,SF208
1205seq,gnl|BL_ORD_ID|158975 ENSG00000187555|USP7|ENST00000569230,USP7,ENST00000569230,ENSG00000187555,118,100.523,46,38.98305085,2.16E-26,no family,
1229seq,gnl|BL_ORD_ID|83408 ENSG00000104408|EIF3E|ENST00000519627|PTHR10317,EIF3E,ENST00000519627,ENSG00000104408,226,157.147,68,30.08849558,1.95E-44,PTHR10317,
1242seq,gnl|BL_ORD_ID|72276 ENSG00000091140|DLD|ENST00000417551|PTHR22912_SF20,DLD,ENST00000417551,ENSG00000091140,510,560.836,271,53.1372549,0,PTHR22912,SF20
1244seq,gnl|BL_ORD_ID|65024 ENSG00000204463|BAG6|ENST00000454165|PTHR15204_SF0,BAG6,ENST00000454165,ENSG00000204463,158,57.7658,31,19.62025316,1.17E-10,PTHR15204,SF0
1259seq,gnl|BL_ORD_ID|123186 ENSG00000151148|UBE3B|ENST00000536398|PTHR11254_SF303,UBE3B,ENST00000536398,ENSG00000151148,245,91.2781,65,26.53061224,1.37E-21,PTHR11254,SF303
1264seq,gnl|BL_ORD_ID|114009 ENSG00000110395|CBL|ENST00000634840|PTHR23007_SF5,CBL,ENST00000634840,ENSG00000110395,863,513.457,237,27.46234067,1.06E-171,PTHR23007,SF5
1290seq,gnl|BL_ORD_ID|142024 ENSG00000100796|PPP4R3A|ENST00000555462|PTHR23318,PPP4R3A,ENST00000555462,ENSG00000100796,595,182.185,86,14.45378151,1.88E-51,PTHR23318,
1340seq,gnl|BL_ORD_ID|10291 ENSG00000116260|QSOX1|ENST00000392029|PTHR22897_SF6,QSOX1,ENST00000392029,ENSG00000116260,156,53.5286,20,12.82051282,1.34E-08,PTHR22897,SF6
1350seq,gnl|BL_ORD_ID|18406 ENSG00000168702|LRP1B|ENST00000442974|TF661740,LRP1B,ENST00000442974,ENSG00000168702,280,47.7506,32,11.42857143,3.30E-06,TF661740,
1363seq,gnl|BL_ORD_ID|120931 ENSG00000084463|WBP11|ENST00000535638|PTHR13361,WBP11,ENST00000535638,ENSG00000084463,195,87.4261,51,26.15384615,9.89E-20,PTHR13361,
1377seq,gnl|BL_ORD_ID|211427 ENSG00000068308|OTUD5|ENST00000610466|PTHR12419_SF4,OTUD5,ENST00000610466,ENSG00000068308,543,308.531,142,26.15101289,1.33E-99,PTHR12419,SF4
1417seq,gnl|BL_ORD_ID|5348 ENSG00000137948|BRDT|ENST00000448194|PTHR22880_SF133,BRDT,ENST00000448194,ENSG00000137948,155,62.3882,35,22.58064516,4.27E-11,PTHR22880,SF133
1444seq,gnl|BL_ORD_ID|189384 ENSG00000060566|CREB3L3|ENST00000602257|PTHR22952_SF98,CREB3L3,ENST00000602257,ENSG00000060566,460,108.612,48,10.43478261,6.05E-26,PTHR22952,SF98
1450seq,gnl|BL_ORD_ID|45623 ENSG00000142731|PLK4|ENST00000515069|PTHR24345_SF50,PLK4,ENST00000515069,ENSG00000142731,893,261.536,122,13.66181411,3.08E-79,PTHR24345,SF50
1451seq,gnl|BL_ORD_ID|192760 ENSG00000065000|AP3D1|ENST00000644728|PTHR22781_SF12,AP3D1,ENST00000644728,ENSG00000065000,946,79.337,129,13.63636364,5.52E-15,PTHR22781,SF12
1472seq,gnl|BL_ORD_ID|207888 ENSG00000157514|TSC22D3|ENST00000372382|PTHR12348_SF16,TSC22D3,ENST00000372382,ENSG00000157514,111,56.6102,29,26.12612613,1.52E-09,PTHR12348,SF16
1505seq,gnl|BL_ORD_ID|39555 ENSG00000164144|ARFIP1|ENST00000356064|PTHR12141,ARFIP1,ENST00000356064,ENSG00000164144,342,192.2,96,28.07017544,7.12E-57,PTHR12141,
1520seq,gnl|BL_ORD_ID|203511 ENSG00000100380|ST13|ENST00000413424|PTHR22904_SF34,ST13,ENST00000413424,ENSG00000100380,147,163.31,79,53.7414966,4.56E-49,PTHR22904,SF34
1560seq,gnl|BL_ORD_ID|211017 ENSG00000126759|CFP|ENST00000469388|PTHR22906_SF0,CFP,ENST00000469388,ENSG00000126759,167,54.6842,39,23.35329341,3.13E-09,PTHR22906,SF0
1561seq,gnl|BL_ORD_ID|25045 ENSG00000145041|DCAF1|ENST00000335891|PTHR13129_SF4,DCAF1,ENST00000335891,ENSG00000145041,1059,310.071,196,18.50802644,4.36E-93,PTHR13129,SF4
1585seq,gnl|BL_ORD_ID|125397 ENSG00000139132|FGD4|ENST00000546442|PTHR12673_SF98,FGD4,ENST00000546442,ENSG00000139132,674,279.641,172,25.51928783,2.63E-82,PTHR12673,SF98
1603seq,gnl|BL_ORD_ID|135742 ENSG00000129484|PARP2|ENST00000429687|PTHR15447_SF7,PARP2,ENST00000429687,ENSG00000129484,571,183.726,115,20.14010508,2.29E-51,PTHR15447,SF7
1636seq,gnl|BL_ORD_ID|60919 ENSG00000213676|ATF6B|ENST00000375201|PTHR22952_SF107,ATF6B,ENST00000375201,ENSG00000213676,701,136.346,119,16.97574893,2.54E-33,PTHR22952,SF107
1654seq,gnl|BL_ORD_ID|5464 ENSG00000132485|ZRANB2|ENST00000611683|PTHR12999,ZRANB2,ENST00000611683,ENSG00000132485,321,117.857,57,17.75700935,6.04E-30,PTHR12999,
1754seq,gnl|BL_ORD_ID|177376 ENSG00000141627|DYM|ENST00000583353|PTHR12895,DYM,ENST00000583353,ENSG00000141627,109,50.0618,20,18.34862385,1.28E-07,PTHR12895,
1755seq,gnl|BL_ORD_ID|179603 ENSG00000134444|RELCH|ENST00000587725|PTHR32059,RELCH,ENST00000587725,ENSG00000134444,1018,270.396,198,19.44990177,1.17E-78,PTHR32059,
1768seq,gnl|BL_ORD_ID|70140 ENSG00000146676|PURB|ENST00000395699|PTHR12611,PURB,ENST00000395699,ENSG00000146676,313,183.726,102,32.58785942,7.19E-55,PTHR12611,
1783seq,gnl|BL_ORD_ID|141845 ENSG00000100744|GSKIP|ENST00000555181|PTHR12490,GSKIP,ENST00000555181,ENSG00000100744,140,70.8626,43,30.71428571,2.72E-14,PTHR12490,
1828seq,gnl|BL_ORD_ID|181303 ENSG00000088038|CNOT3|ENST00000358389|PTHR23326_SF1,CNOT3,ENST00000358389,ENSG00000088038,754,190.274,89,11.80371353,4.82E-51,PTHR23326,SF1
1848seq,gnl|BL_ORD_ID|197043 ENSG00000101384|JAG1|ENST00000613518|PTHR24044_SF212,JAG1,ENST00000613518,ENSG00000101384,173,58.5362,32,18.49710983,1.15E-10,PTHR24044,SF212
1876seq,gnl|BL_ORD_ID|4475 ENSG00000142910|TINAGL1|ENST00000457433|PTHR12411_SF270,TINAGL1,ENST00000457433,ENSG00000142910,437,290.426,164,37.52860412,4.64E-92,PTHR12411,SF270
1879seq,gnl|BL_ORD_ID|52073 ENSG00000164318|EGFLAM|ENST00000508131|PTHR10574_SF202,EGFLAM,ENST00000508131,ENSG00000164318,112,70.8626,36,32.14285714,9.14E-15,PTHR10574,SF202
1888seq,gnl|BL_ORD_ID|3626 ENSG00000134250|NOTCH2|ENST00000579475|PTHR24033_SF4,NOTCH2,ENST00000579475,ENSG00000134250,864,206.068,167,19.3287037,3.85E-55,PTHR24033,SF4
1895seq,gnl|BL_ORD_ID|108919 ENSG00000184014|DENND5A|ENST00000528725|PTHR10877_SF45,DENND5A,ENST00000528725,ENSG00000184014,187,61.6178,32,17.11229947,1.68E-12,PTHR10877,SF45
1896seq,gnl|BL_ORD_ID|101679 ENSG00000015171|ZMYND11|ENST00000558098|PTHR24102_SF12,ZMYND11,ENST00000558098,ENSG00000015171,569,102.834,70,12.30228471,5.05E-23,PTHR24102,SF12
1910seq,gnl|BL_ORD_ID|24371 ENSG00000138029|HADHB|ENST00000545822|PTHR18919,HADHB,ENST00000545822,ENSG00000138029,453,507.294,250,55.18763797,2.77E-178,PTHR18919,
1945seq,gnl|BL_ORD_ID|48288 ENSG00000176783|RUFY1|ENST00000319449|PTHR22835_SF84,RUFY1,ENST00000319449,ENSG00000176783,709,94.7449,108,15.23272214,1.34E-19,PTHR22835,SF84
1953seq,gnl|BL_ORD_ID|21278 ENSG00000144021|CIAO1|ENST00000488633|PTHR19920,CIAO1,ENST00000488633,ENSG00000144021,340,109.768,51,15,9.71E-29,PTHR19920,
1955seq,gnl|BL_ORD_ID|58755 ENSG00000112685|EXOC2|ENST00000230449|PTHR13043,EXOC2,ENST00000230449,ENSG00000112685,925,111.694,134,14.48648649,5.11E-25,PTHR13043,
1995seq,gnl|BL_ORD_ID|8898 ENSG00000116698|SMG7|ENST00000440812|PTHR15696_SF0,SMG7,ENST00000440812,ENSG00000116698,185,46.9802,35,18.91891892,4.74E-06,PTHR15696,SF0
2007seq,gnl|BL_ORD_ID|117086 ENSG00000109911|ELP4|ENST00000638984|PTHR12896,ELP4,ENST00000638984,ENSG00000109911,132,46.9802,27,20.45454545,9.71E-07,PTHR12896,
2024seq,gnl|BL_ORD_ID|124848 ENSG00000175203|DCTN2|ENST00000548249|PTHR15346,DCTN2,ENST00000548249,ENSG00000175203,402,174.481,128,31.84079602,5.90E-50,PTHR15346,
2036seq,gnl|BL_ORD_ID|80927 ENSG00000160972|PPP1R16A|ENST00000435887|PTHR24186,PPP1R16A,ENST00000435887,ENSG00000160972,529,293.123,154,29.11153119,3.80E-91,PTHR24186,
2041seq,gnl|BL_ORD_ID|148056 ENSG00000137807|AC027237.1|ENST00000561089|PTHR24115_SF88,AC027237.1,ENST00000561089,ENSG00000137807,110,58.5362,32,29.09090909,4.35E-12,PTHR24115,SF88
2078seq,gnl|BL_ORD_ID|193652 ENSG00000141837|CACNA1A|ENST00000637819|PTHR10037_SF59,CACNA1A,ENST00000637819,ENSG00000141837,459,75.485,49,10.67538126,3.34E-14,PTHR10037,SF59
2080seq,gnl|BL_ORD_ID|107751 ENSG00000110047|EHD1|ENST00000457202|PTHR11216_SF60,EHD1,ENST00000457202,ENSG00000110047,148,79.337,36,24.32432432,1.07E-18,PTHR11216,SF60
2085seq,gnl|BL_ORD_ID|205187 ENSG00000184381|PLA2G6|ENST00000448094|PTHR24139_SF27,PLA2G6,ENST00000448094,ENSG00000184381,227,49.6766,25,11.01321586,2.10E-07,PTHR24139,SF27
2099seq,gnl|BL_ORD_ID|144063 ENSG00000198901|PRC1|ENST00000361188|PTHR19321,PRC1,ENST00000361188,ENSG00000198901,607,108.612,88,14.49752883,4.84E-26,PTHR19321,
2109seq,gnl|BL_ORD_ID|10769 ENSG00000134376|CRB1|ENST00000538660|PTHR24049,CRB1,ENST00000538660,ENSG00000134376,871,159.073,91,10.44776119,5.31E-44,PTHR24049,
2160seq,gnl|BL_ORD_ID|11165 ENSG00000174371|EXO1|ENST00000518483|PTHR11081_SF8,EXO1,ENST00000518483,ENSG00000174371,804,283.878,155,19.27860697,6.94E-86,PTHR11081,SF8
2166seq,gnl|BL_ORD_ID|202445 ENSG00000100084|HIRA|ENST00000340170|PTHR13831,HIRA,ENST00000340170,ENSG00000100084,811,335.109,165,20.34525277,3.46E-107,PTHR13831,
2168seq,gnl|BL_ORD_ID|190013 ENSG00000142002|DPP9|ENST00000646573|PTHR11731_SF109,DPP9,ENST00000646573,ENSG00000142002,155,50.8322,34,21.93548387,5.18E-07,PTHR11731,SF109
2181seq,gnl|BL_ORD_ID|130894 ENSG00000126226|PCID2|ENST00000375477|PTHR12732,PCID2,ENST00000375477,ENSG00000126226,400,240.736,134,33.5,6.25E-75,PTHR12732,
2198seq,gnl|BL_ORD_ID|175849 ENSG00000134759|ELP2|ENST00000351393|PTHR13729,ELP2,ENST00000351393,ENSG00000134759,801,384.415,245,30.58676654,3.41E-122,PTHR13729,
2199seq,gnl|BL_ORD_ID|4510 ENSG00000134250|NOTCH2|ENST00000602566|PTHR24033_SF43,NOTCH2,ENST00000602566,ENSG00000134250,237,81.6481,55,23.20675105,1.55E-18,PTHR24033,SF43
2233seq,gnl|BL_ORD_ID|25081 ENSG00000284753|EEF1AKMT4|ENST00000324557|PTHR12176_SF16,EEF1AKMT4,ENST00000324557,ENSG00000284753,256,95.1301,57,22.265625,5.53E-23,PTHR12176,SF16
2243seq,gnl|BL_ORD_ID|60250 ENSG00000171462|DLK2|ENST00000372488|PTHR24838_SF277,DLK2,ENST00000372488,ENSG00000171462,384,92.0485,61,15.88541667,5.43E-20,PTHR24838,SF277
2245seq,gnl|BL_ORD_ID|168576 ENSG00000167721|TSR1|ENST00000576112|PTHR12858,TSR1,ENST00000576112,ENSG00000167721,369,69.3218,55,14.90514905,1.61E-13,PTHR12858,
2254seq,gnl|BL_ORD_ID|193545 ENSG00000130299|GTPBP3|ENST00000600625|PTHR11649_SF56,GTPBP3,ENST00000600625,ENSG00000130299,472,232.646,127,26.90677966,1.41E-72,PTHR11649,SF56
2294seq,gnl|BL_ORD_ID|165869 ENSG00000141279|NPEPPS|ENST00000525007|PTHR11533_SF163,NPEPPS,ENST00000525007,ENSG00000141279,201,116.701,66,32.8358209,1.02E-31,PTHR11533,SF163
2300seq,gnl|BL_ORD_ID|69151 ENSG00000158516|CPA2|ENST00000222481|PTHR11705_SF50,CPA2,ENST00000222481,ENSG00000158516,420,181.8,116,27.61904762,3.95E-52,PTHR11705,SF50
2305seq,gnl|BL_ORD_ID|113047 ENSG00000172725|CORO1B|ENST00000616321|PTHR10856_SF16,CORO1B,ENST00000616321,ENSG00000172725,261,243.047,113,43.29501916,9.28E-81,PTHR10856,SF16
2337seq,gnl|BL_ORD_ID|163361 ENSG00000183048|SLC25A10|ENST00000350690|PTHR24089_SF39,SLC25A10,ENST00000350690,ENSG00000183048,288,338.961,161,55.90277778,1.41E-113,PTHR24089,SF39
2349seq,gnl|BL_ORD_ID|69155 ENSG00000019991|HGF|ENST00000222390|PTHR24272_SF3,HGF,ENST00000222390,ENSG00000019991,729,61.6178,91,12.48285322,2.41E-09,PTHR24272,SF3
2366seq,gnl|BL_ORD_ID|14568 ENSG00000187957|DNER|ENST00000341772|PTHR24044_SF58,DNER,ENST00000341772,ENSG00000187957,738,69.3218,83,11.24661247,1.27E-11,PTHR24044,SF58
2375seq,gnl|BL_ORD_ID|74048 ENSG00000136279|DBNL|ENST00000448521|PTHR10829_SF12,DBNL,ENST00000448521,ENSG00000136279,431,122.479,71,16.47331787,9.70E-31,PTHR10829,SF12
238seq,gnl|BL_ORD_ID|33271 ENSG00000114127|XRN1|ENST00000498077|PTHR12341_SF9,XRN1,ENST00000498077,ENSG00000114127,1161,152.91,131,11.2833764,1.54E-38,PTHR12341,SF9
239seq,gnl|BL_ORD_ID|33271 ENSG00000114127|XRN1|ENST00000498077|PTHR12341_SF9,XRN1,ENST00000498077,ENSG00000114127,1161,152.91,131,11.2833764,1.54E-38,PTHR12341,SF9
2405seq,gnl|BL_ORD_ID|60287 ENSG00000241370|RPP21|ENST00000436442|PTHR14742_SF0,RPP21,ENST00000436442,ENSG00000241370,145,45.4394,32,22.06896552,2.31E-06,PTHR14742,SF0
2426seq,gnl|BL_ORD_ID|84319 ENSG00000168522|FNTA|ENST00000533336|PTHR11129_SF1,FNTA,ENST00000533336,ENSG00000168522,249,255.758,109,43.7751004,1.60E-84,PTHR11129,SF1
2432seq,gnl|BL_ORD_ID|194896 ENSG00000101443|WFDC2|ENST00000372676|TF613311,WFDC2,ENST00000372676,ENSG00000101443,125,44.2838,33,26.4,6.24E-06,TF613311,
2510seq,gnl|BL_ORD_ID|51895 ENSG00000197860|SGTB|ENST00000506816|PTHR22904_SF290,SGTB,ENST00000506816,ENSG00000197860,195,149.443,81,41.53846154,1.25E-43,PTHR22904,SF290
2525seq,gnl|BL_ORD_ID|170359 ENSG00000169660|HEXD|ENST00000644009|PTHR21040,HEXD,ENST00000644009,ENSG00000169660,487,163.31,92,18.89117043,1.90E-44,PTHR21040,
2548seq,gnl|BL_ORD_ID|21028 ENSG00000144028|SNRNP200|ENST00000652267|PTHR11752_SF55,SNRNP200,ENST00000652267,ENSG00000144028,1375,334.339,175,12.72727273,9.48E-102,PTHR11752,SF55
2559seq,gnl|BL_ORD_ID|1012 ENSG00000163393|SLC22A15|ENST00000369503|PTHR24064_SF170,SLC22A15,ENST00000369503,ENSG00000163393,548,55.4546,56,10.2189781,4.62E-08,PTHR24064,SF170
2590seq,gnl|BL_ORD_ID|128857 ENSG00000188026|RILPL1|ENST00000636882|PTHR21502_SF6,RILPL1,ENST00000636882,ENSG00000188026,387,148.288,116,29.97416021,1.48E-40,PTHR21502,SF6
2612seq,gnl|BL_ORD_ID|107597 ENSG00000166181|API5|ENST00000378852|PTHR12758_SF19,API5,ENST00000378852,API5,505,215.698,158,31.28712871,2.73E-62,PTHR12758,SF19
2632seq,gnl|BL_ORD_ID|85497 ENSG00000091656|ZFHX4|ENST00000651020|PTHR24208_SF40,ZFHX4,ENST00000651020,ENSG00000091656,743,141.739,144,19.38088829,3.45E-34,PTHR24208,SF40
2635seq,gnl|BL_ORD_ID|54126 ENSG00000164308|ERAP2|ENST00000513084|PTHR11533_SF166,ERAP2,ENST00000513084,ENSG00000164308,533,292.352,174,32.64540338,8.92E-92,PTHR11533,SF166
2639seq,gnl|BL_ORD_ID|76733 ENSG00000004766|VPS50|ENST00000443443|PTHR13258,VPS50,ENST00000443443,ENSG00000004766,156,112.079,53,33.97435897,2.19E-29,PTHR13258,
2652seq,gnl|BL_ORD_ID|59574 ENSG00000112333|NR2E1|ENST00000368986|PTHR24083_SF79,NR2E1,ENST00000368986,ENSG00000112333,386,132.88,110,28.49740933,4.37E-34,PTHR24083,SF79
266seq,gnl|BL_ORD_ID|49478 ENSG00000161011|SQSTM1|ENST00000422245|PTHR15090,SQSTM1,ENST00000422245,ENSG00000161011,140,57.3806,30,21.42857143,8.25E-10,PTHR15090,
2676seq,gnl|BL_ORD_ID|148975 ENSG00000259330|INAFM2|ENST00000638170|TF631805,INAFM2,ENST00000638170,ENSG00000259330,154,61.6178,24,15.58441558,1.21E-12,TF631805,
2690seq,gnl|BL_ORD_ID|187360 ENSG00000105254|TBCB|ENST00000589996|TF612501,TBCB,ENST00000589996,ENSG00000105254,192,47.3654,33,17.1875,4.05E-07,TF612501,
2704seq,gnl|BL_ORD_ID|17474 ENSG00000163029|SMC6|ENST00000448223|PTHR19306,SMC6,ENST00000448223,ENSG00000163029,1092,204.912,177,16.20879121,1.22E-54,PTHR19306,
2705seq,gnl|BL_ORD_ID|140970 ENSG00000100890|KIAA0391|ENST00000605870|PTHR13547,KIAA0391,ENST00000605870,ENSG00000100890,212,73.1738,61,28.77358491,1.21E-15,PTHR13547,
2715seq,gnl|BL_ORD_ID|134775 ENSG00000213463|SYNJ2BP|ENST00000256366|PTHR17130_SF18,SYNJ2BP,ENST00000256366,ENSG00000213463,146,50.8322,29,19.8630137,1.80E-07,PTHR17130,SF18
2732seq,gnl|BL_ORD_ID|169857 ENSG00000141295|SCRN2|ENST00000578323|PTHR12994,SCRN2,ENST00000578323,ENSG00000141295,180,210.305,102,56.66666667,1.27E-68,PTHR12994,
2752seq,gnl|BL_ORD_ID|346 ENSG00000188976|NOC2L|ENST00000327044|PTHR12687,NOC2L,ENST00000327044,ENSG00000188976,750,202.986,105,14,1.31E-58,PTHR12687,
2754seq,gnl|BL_ORD_ID|49289 ENSG00000094880|CDC23|ENST00000394886|PTHR12558,CDC23,ENST00000394886,ENSG00000094880,598,130.954,80,13.37792642,6.93E-34,PTHR12558,
2762seq,gnl|BL_ORD_ID|150773 ENSG00000103932|RPAP1|ENST00000561603|PTHR21483_SF18,RPAP1,ENST00000561603,ENSG00000103932,1129,158.688,122,10.80602303,2.04E-41,PTHR21483,SF18
2774seq,gnl|BL_ORD_ID|35081 ENSG00000183624|HMCES|ENST00000510314|PTHR13604,HMCES,ENST00000510314,ENSG00000183624,183,77.0258,37,20.21857923,1.59E-16,PTHR13604,
2793seq,gnl|BL_ORD_ID|27182 ENSG00000011376|LARS2|ENST00000414984|PTHR11946_SF7,LARS2,ENST00000414984,ENSG00000011376,861,233.802,119,13.82113821,4.52E-70,PTHR11946,SF7
280seq,gnl|BL_ORD_ID|1164 ENSG00000127481|UBR4|ENST00000425413|PTHR21725,UBR4,ENST00000425413,ENSG00000127481,984,140.969,102,10.36585366,2.21E-34,PTHR21725,
2811seq,gnl|BL_ORD_ID|14009 ENSG00000130414|NDUFA10|ENST00000252711|PTHR10513_SF15,NDUFA10,ENST00000252711,ENSG00000130414,356,112.079,74,20.78651685,2.47E-28,PTHR10513,SF15
284seq,gnl|BL_ORD_ID|37425 ENSG00000138246|DNAJC13|ENST00000506813|PTHR24078_SF25,DNAJC13,ENST00000506813,ENSG00000138246,174,127.872,60,34.48275862,3.76E-33,PTHR24078,SF25
2854seq,gnl|BL_ORD_ID|111564 ENSG00000132746|ALDH3B2|ENST00000525827|PTHR11699_SF119,ALDH3B2,ENST00000525827,ENSG00000132746,148,64.6994,30,20.27027027,6.22E-12,PTHR11699,SF119
2884seq,gnl|BL_ORD_ID|151997 ENSG00000166851|PLK1|ENST00000300093|PTHR24345_SF0,PLK1,ENST00000300093,ENSG00000166851,604,280.411,128,21.19205298,4.85E-91,PTHR24345,SF0
2892seq,gnl|BL_ORD_ID|24634 ENSG00000114686|MRPL3|ENST00000264995|PTHR11229,MRPL3,ENST00000264995,ENSG00000114686,349,119.783,76,21.7765043,2.00E-31,PTHR11229,
2945seq,gnl|BL_ORD_ID|46568 ENSG00000002549|LAP3|ENST00000618908|PTHR11963,LAP3,ENST00000618908,ENSG00000002549,520,97.0561,60,11.53846154,7.30E-23,PTHR11963,
2968seq,gnl|BL_ORD_ID|6001 ENSG00000079739|PGM1|ENST00000540265|PTHR22573_SF37,PGM1,ENST00000540265,ENSG00000079739,366,99.7525,50,13.66120219,4.60E-25,PTHR22573,SF37
3020seq,gnl|BL_ORD_ID|100718 ENSG00000136754|ABI1|ENST00000536334|PTHR10460_SF2,ABI1,ENST00000536334,ENSG00000136754,394,110.923,63,15.98984772,1.07E-27,PTHR10460,SF2
3037seq,gnl|BL_ORD_ID|60063 ENSG00000137168|PPIL1|ENST00000373699|PTHR11071_SF147,PPIL1,ENST00000373699,ENSG00000137168,167,142.124,73,43.71257485,1.35E-41,PTHR11071,SF147
3049seq,gnl|BL_ORD_ID|53740 ENSG00000145723|GIN1|ENST00000508629|TF636213,GIN1,ENST00000508629,ENSG00000145723,223,52.7582,39,17.48878924,1.18E-07,TF636213,
3057seq,gnl|BL_ORD_ID|103872 ENSG00000148606|POLR3A|ENST00000616246|PTHR19376_SF31,POLR3A,ENST00000616246,ENSG00000148606,163,49.6766,41,25.15337423,1.39E-06,PTHR19376,SF31
3082seq,gnl|BL_ORD_ID|30217 ENSG00000076201|PTPN23|ENST00000456221|PTHR19134_SF27,PTPN23,ENST00000456221,ENSG00000076201,170,119.783,74,43.52941176,1.73E-31,PTHR19134,SF27
3135seq,gnl|BL_ORD_ID|18959 ENSG00000171551|ECEL1|ENST00000411860|PTHR11733_SF108,ECEL1,ENST00000411860,ENSG00000171551,169,42.3578,20,11.83431953,9.19E-06,PTHR11733,SF108
3140seq,gnl|BL_ORD_ID|165894 ENSG00000070366|SMG6|ENST00000536871|PTHR13548,SMG6,ENST00000536871,ENSG00000070366,512,64.3142,101,19.7265625,1.82E-10,PTHR13548,
3176seq,gnl|BL_ORD_ID|50232 ENSG00000131503|ANKHD1|ENST00000412116|PTHR23206,ANKHD1,ENST00000412116,ENSG00000131503,608,380.948,185,30.42763158,1.83E-122,PTHR23206,
